Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,nitrogen_pct_of_2017_baseline,water_pct_of_2017_baseline
0.3,4284469017.4199724,214068754052.5074,4.284469017419973,214.0687540525074,Optimal,1,True,2459,776,profit,normalized,2861213086.8916264,91975933230.99747,2.8612130868916266,91.97593323099747,Optimal,1,True,1788,741,profit,normalized,7145682104.311599,306044687283.5049,7.145682104311598,306.04468728350486,True,Optimal|Optimal,86.24493280333122,65.45205069337752
0.31,4275644443.1906834,214333793576.19263,4.275644443190683,214.33379357619262,Optimal,1,True,2459,776,profit,normalized,2846260508.1743655,92209504732.79802,2.8462605081743657,92.20950473279802,Optimal,1,True,1788,741,profit,normalized,7121904951.365049,306543298308.99066,7.12190495136505,306.54329830899064,True,Optimal|Optimal,85.95795404774225,65.55868582044359
0.32,4273420604.728469,214403861761.4933,4.273420604728469,214.4038617614933,Optimal,1,True,2459,776,profit,normalized,2845726671.7754474,92218403766.2528,2.8457266717754472,92.2184037662528,Optimal,1,True,1788,741,profit,normalized,7119147276.503916,306622265527.7461,7.119147276503916,306.6222655277461,True,Optimal|Optimal,85.92467024367429,65.57557409401883
0.33,4272996665.685706,214417494519.9204,4.272996665685707,214.4174945199204,Optimal,1,True,2459,776,profit,normalized,2845726671.7754474,92218403766.2528,2.8457266717754472,92.2184037662528,Optimal,1,True,1788,741,profit,normalized,7118723337.461153,306635898286.1732,7.118723337461153,306.63589828617324,True,Optimal|Optimal,85.91955350412137,65.57848965515332
0.34,4272890889.114896,214421163200.60522,4.272890889114896,214.42116320060524,Optimal,1,True,2459,776,profit,normalized,2838236853.1486545,92353586485.75533,2.8382368531486546,92.35358648575533,Optimal,1,True,1788,741,profit,normalized,7111127742.26355,306774749686.36053,7.11112774226355,306.7747496863605,True,Optimal|Optimal,85.82787833751644,65.60818502076994
0.35,4267279519.959238,214621833057.85004,4.267279519959238,214.62183305785004,Optimal,1,True,2459,776,profit,normalized,2838236853.1486545,92353586485.75533,2.8382368531486546,92.35358648575533,Optimal,1,True,1788,741,profit,normalized,7105516373.107893,306975419543.60535,7.105516373107893,306.97541954360537,True,Optimal|Optimal,85.76015182118117,65.6511011510436
0.36,4265501131.988676,214688070623.44336,4.265501131988676,214.68807062344337,Optimal,1,True,2459,776,profit,normalized,2826946373.931341,92578787386.91797,2.826946373931341,92.57878738691797,Optimal,1,True,1788,741,profit,normalized,7092447505.920017,307266858010.3613,7.092447505920017,307.2668580103613,True,Optimal|Optimal,85.60241690434881,65.71342945175493
0.37,4257242151.3347416,215011056506.65674,4.257242151334742,215.01105650665673,Optimal,1,True,2459,776,profit,normalized,2826289243.196651,92592160319.3965,2.826289243196651,92.5921603193965,Optimal,1,True,1788,741,profit,normalized,7083531394.531393,307603216826.0532,7.083531394531393,307.6032168260532,True,Optimal|Optimal,85.4948037449116,65.7853646140714
0.38,4244504120.752926,215529073634.33423,4.244504120752926,215.52907363433422,Optimal,1,True,2459,776,profit,normalized,2805051875.123444,93054960746.12592,2.805051875123444,93.05496074612591,Optimal,1,True,1788,741,profit,normalized,7049555995.876369,308584034380.46014,7.04955599587637,308.58403438046014,True,Optimal|Optimal,85.084737087706,65.99512653107057
0.39,4242463182.3560486,215616768284.8742,4.242463182356048,215.6167682848742,Optimal,1,True,2459,776,profit,normalized,2805051875.123444,93054960746.12592,2.805051875123444,93.05496074612591,Optimal,1,True,1788,741,profit,normalized,7047515057.479492,308671729031.0001,7.047515057479492,308.6717290310001,True,Optimal|Optimal,85.06010394669512,66.01388129124506
0.4,4238945895.5828786,215774321426.237,4.238945895582878,215.774321426237,Optimal,1,True,2459,776,profit,normalized,2805044477.5004797,93055134293.238,2.8050444775004797,93.05513429323801,Optimal,1,True,1788,741,profit,normalized,7043990373.083359,308829455719.475,7.043990373083359,308.829455719475,True,Optimal|Optimal,85.01756270787988,66.04761340828125
0.41,4237638411.0217757,215835466801.35822,4.237638411021775,215.83546680135822,Optimal,1,True,2459,776,profit,normalized,2804968414.9960575,93056982609.33618,2.8049684149960576,93.05698260933619,Optimal,1,True,1788,741,profit,normalized,7042606826.017834,308892449410.6944,7.042606826017834,308.8924494106944,True,Optimal|Optimal,85.00086396282592,66.06108551363833
0.42,4237638411.0217757,215835466801.35822,4.237638411021775,215.83546680135822,Optimal,1,True,2459,776,profit,normalized,2801827588.4770417,93136360309.74292,2.8018275884770416,93.13636030974293,Optimal,1,True,1788,741,profit,normalized,7039465999.498817,308971827111.10114,7.039465999498818,308.97182711110116,True,Optimal|Optimal,84.96295570324688,66.07806157460858
0.43,4234926281.433457,215970083107.61438,4.234926281433457,215.97008310761439,Optimal,1,True,2459,776,profit,normalized,2801757632.531474,93138204306.14761,2.801757632531474,93.13820430614761,Optimal,1,True,1788,741,profit,normalized,7036683913.9649315,309108287413.76196,7.036683913964931,309.10828741376196,True,Optimal|Optimal,84.92937727414515,66.10724556968678
0.44,4227703042.8238697,216353622971.86578,4.22770304282387,216.35362297186578,Optimal,1,True,2459,776,profit,normalized,2801011025.818991,93158711975.4134,2.8010110258189913,93.15871197541341,Optimal,1,True,1788,741,profit,normalized,7028714068.64286,309512334947.2792,7.02871406864286,309.51233494727916,True,Optimal|Optimal,84.8331850892395,66.19365693621315
0.45,4219278736.4953613,216813135640.38538,4.219278736495362,216.81313564038538,Optimal,1,True,2459,776,profit,normalized,2801011025.818991,93158711975.4134,2.8010110258189913,93.15871197541341,Optimal,1,True,1788,741,profit,normalized,7020289762.314352,309971847615.79877,7.020289762314352,309.97184761579877,True,Optimal|Optimal,84.73150777941649,66.2919303182514
0.46,4215391595.5952973,217031359099.02466,4.215391595595297,217.03135909902466,Optimal,1,True,2459,776,profit,normalized,2798864589.1405644,93222617740.34906,2.7988645891405644,93.22261774034907,Optimal,1,True,1788,741,profit,normalized,7014256184.735862,310253976839.3737,7.014256184735862,310.2539768393737,True,Optimal|Optimal,84.65868541127523,66.35226770364247
0.47,4207421480.892339,217505608197.16724,4.207421480892339,217.50560819716725,Optimal,1,True,2459,776,profit,normalized,2793774062.523586,93383042054.13911,2.793774062523586,93.38304205413911,Optimal,1,True,1788,741,profit,normalized,7001195543.415925,310888650251.30634,7.001195543415925,310.88865025130633,True,Optimal|Optimal,84.50104977669716,66.48800172569092
