Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,income_mode,objective_mode,nitrogen_pct_of_2017_baseline,water_pct_of_2017_baseline
0.1,5149342628.907018,312578672255.94806,5.149342628907018,312.57867225594805,Optimal,1,True,2459,3235,profit,normalized,2939550223.006977,101208186443.26497,2.939550223006977,101.20818644326496,Optimal,1,True,1788,2529,profit,normalized,8088892851.913995,413786858699.213,8.088892851913995,413.786858699213,True,Optimal|Optimal,profit,normalized,97.62903111037245,88.49426105784929
0.11,5145927725.195584,312605266171.59204,5.145927725195584,312.60526617159206,Optimal,1,True,2459,3235,profit,normalized,2939341997.136198,101209027444.566,2.9393419971361983,101.20902744456599,Optimal,1,True,1788,2529,profit,normalized,8085269722.331782,413814293616.158,8.085269722331782,413.814293616158,True,Optimal|Optimal,profit,normalized,97.58530168569413,88.50012840876
0.12,5144961649.151832,312614096959.28674,5.144961649151831,312.61409695928677,Optimal,1,True,2459,3235,profit,normalized,2939330824.2047462,101209079092.14613,2.9393308242047462,101.20907909214614,Optimal,1,True,1788,2529,profit,normalized,8084292473.356578,413823176051.43286,8.084292473356578,413.8231760514329,True,Optimal|Optimal,profit,normalized,97.57350676241484,88.50202804508126
0.13,5143637806.035813,312627294702.80804,5.143637806035813,312.62729470280806,Optimal,1,True,2459,3235,profit,normalized,2939320097.279229,101209134395.36009,2.939320097279229,101.2091343953601,Optimal,1,True,1788,2529,profit,normalized,8082957903.3150425,413836429098.16815,8.082957903315043,413.83642909816814,True,Optimal|Optimal,profit,normalized,97.55739914639256,88.50486239941839
0.14,5139880822.013154,312667353704.2929,5.139880822013154,312.6673537042929,Optimal,1,True,2459,3235,profit,normalized,2939320097.279229,101209134395.36009,2.939320097279229,101.2091343953601,Optimal,1,True,1788,2529,profit,normalized,8079200919.292383,413876488099.653,8.079200919292383,413.876488099653,True,Optimal|Optimal,profit,normalized,97.51205416324784,88.51342959206985
0.15,5139785181.972749,312668450649.6559,5.139785181972749,312.6684506496559,Optimal,1,True,2459,3235,profit,normalized,2939316811.3046265,101209154545.74652,2.9393168113046264,101.20915454574651,Optimal,1,True,1788,2529,profit,normalized,8079101993.277375,413877605195.4024,8.079101993277375,413.8776051954024,True,Optimal|Optimal,profit,normalized,97.51086017401178,88.51366849903559
0.16,5138532108.092967,312684113546.4036,5.138532108092967,312.68411354640364,Optimal,1,True,2459,3235,profit,normalized,2939286127.124284,101209357592.70389,2.9392861271242836,101.20935759270388,Optimal,1,True,1788,2529,profit,normalized,8077818235.217251,413893471139.10754,8.07781823521725,413.89347113910753,True,Optimal|Optimal,profit,normalized,97.49536583407125,88.5170616589068
0.17,5138418230.271115,312685659531.42145,5.138418230271116,312.68565953142144,Optimal,1,True,2459,3235,profit,normalized,2939286126.6988335,101209357595.75494,2.9392861266988333,101.20935759575494,Optimal,1,True,1788,2529,profit,normalized,8077704356.969949,413895017127.1764,8.07770435696995,413.8950171271764,True,Optimal|Optimal,profit,normalized,97.49399137861089,88.51739229065326
0.18,5138111526.535681,312690025390.8071,5.138111526535681,312.69002539080714,Optimal,1,True,2459,3235,profit,normalized,2937432453.690113,101223363581.61624,2.937432453690113,101.22336358161624,Optimal,1,True,1788,2529,profit,normalized,8075543980.225794,413913388972.42334,8.075543980225794,413.9133889724233,True,Optimal|Optimal,profit,normalized,97.46791667441754,88.52132137354997
0.19,5137981850.238337,312692073057.0611,5.1379818502383365,312.6920730570611,Optimal,1,True,2459,3235,profit,normalized,2937348962.668148,101224039116.95499,2.937348962668148,101.22403911695498,Optimal,1,True,1788,2529,profit,normalized,8075330812.906485,413916112174.0161,8.075330812906484,413.9161121740161,True,Optimal|Optimal,profit,normalized,97.46534384779844,88.52190376931145
