iteration,scenario,season,metric,metric_key,status,kharif_status,rabi_status,pct_reduction,display_pct_change
30,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,3.7389771970811347,-3.7389771970811347
30,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,21.74943820889687,-21.74943820889687
30,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,8.116125662477693,-8.116125662477693
30,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,22.958878394349174,-22.958878394349174
30,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,6.775025694754987,-6.775025694754987
30,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,27.363498251816793,-27.363498251816793
30,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,46.62290675477759,-46.62290675477759
31,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,23.96281089561906,-23.96281089561906
31,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,9.20276035071468,-9.20276035071468
31,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,21.677401930474886,-21.677401930474886
31,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,8.661345887795171,-8.661345887795171
31,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,30.366305503025394,-30.366305503025394
31,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,40.442431682101066,-40.442431682101066
31,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-6.770811324286709,6.770811324286709
31,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-13.136719728889224,13.136719728889224
31,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-2.0937451214191056,2.0937451214191056
31,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-3.2205566558811682,3.2205566558811682
31,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,15.013365230159875,-15.013365230159875
31,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,5.089669027981512,-5.089669027981512
31,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,14.071553192400131,-14.071553192400131
31,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,3.1641843674613224,-3.1641843674613224
31,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,20.553983306844284,-20.553983306844284
31,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,8.426559210811456,-8.426559210811456
31,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,22.52413154451931,-22.52413154451931
31,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,6.09261769361185,-6.09261769361185
31,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,31.837441359118838,-31.837441359118838
31,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,47.382727915116824,-47.382727915116824
32,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,24.163223883423594,-24.163223883423594
32,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,10.815388025462127,-10.815388025462127
32,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,21.50662684582331,-21.50662684582331
32,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,10.361728667889137,-10.361728667889137
32,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,28.331455578143398,-28.331455578143398
32,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,39.066894774273926,-39.066894774273926
32,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-7.724903165420123,7.724903165420123
32,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-12.832963527076263,12.832963527076263
32,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-2.6033652549211466,2.6033652549211466
