season,State,District,Crop,Original Area (Hectare),Optimized Area (Hectare)
kharif,bihar,samastipur,bajra,0.0,4.0
kharif,bihar,samastipur,jowar,0.0,140.0
kharif,bihar,samastipur,maize,17182.0,17868.0
kharif,bihar,samastipur,ragi,1.0,158.0
kharif,bihar,samastipur,rice,94961.0,93974.0
kharif,bihar,saran,bajra,0.0,5.0
kharif,bihar,saran,jowar,0.0,221.0
kharif,bihar,saran,maize,16061.0,17843.0
kharif,bihar,saran,ragi,392.0,670.0
kharif,bihar,saran,rice,62387.0,60101.0
kharif,bihar,sheikhpura,jowar,0.0,51.0
kharif,bihar,sheikhpura,maize,474.0,188.0
kharif,bihar,sheikhpura,ragi,1.0,1.0
kharif,bihar,sheikhpura,rice,30698.0,30933.0
kharif,bihar,sheohar,maize,235.0,329.0
kharif,bihar,sheohar,ragi,4.0,12.0
kharif,bihar,sheohar,rice,22016.0,21914.0
kharif,bihar,sitamarhi,bajra,0.0,42.0
kharif,bihar,sitamarhi,maize,1050.0,1098.0
kharif,bihar,sitamarhi,ragi,49.0,765.0
kharif,bihar,sitamarhi,rice,97897.0,97091.0
kharif,bihar,siwan,bajra,81.0,108.0
kharif,bihar,siwan,jowar,0.0,29.0
kharif,bihar,siwan,maize,11816.0,13209.0
kharif,bihar,siwan,ragi,538.0,754.0
kharif,bihar,siwan,rice,91003.0,89338.0
kharif,bihar,supaul,jowar,0.0,21.0
kharif,bihar,supaul,maize,2664.0,2998.0
kharif,bihar,supaul,ragi,1534.0,1199.7004080445233
kharif,bihar,supaul,rice,98584.0,98563.29959195548
kharif,bihar,vaishali,jowar,0.0,25.0
kharif,bihar,vaishali,maize,11771.0,15665.0
kharif,bihar,vaishali,ragi,40.0,283.0
kharif,bihar,vaishali,rice,42030.0,37868.0
kharif,chandigarh,chandigarh,maize,0.0,1.000000082740371e-08
kharif,chandigarh,chandigarh,rice,10.0,9.99999999
kharif,chhattisgarh,balod,jowar,0.0,0.0
kharif,chhattisgarh,balod,maize,310.0,0.0
kharif,chhattisgarh,balod,ragi,7.0,0.0
kharif,chhattisgarh,balod,rice,0.0,317.0
kharif,chhattisgarh,baloda bazar,bajra,0.0,7.0
kharif,chhattisgarh,baloda bazar,jowar,0.0,100.0
kharif,chhattisgarh,baloda bazar,maize,88.0,187.0
kharif,chhattisgarh,baloda bazar,rice,400542.0,400336.0
kharif,chhattisgarh,balrampur,bajra,0.0,48.0
kharif,chhattisgarh,balrampur,jowar,0.0,732.0
kharif,chhattisgarh,balrampur,maize,21589.0,29167.0
kharif,chhattisgarh,balrampur,ragi,306.0,0.0
kharif,chhattisgarh,balrampur,rice,83696.0,75644.0
kharif,chhattisgarh,bastar,jowar,0.0,0.0
kharif,chhattisgarh,bastar,maize,9298.0,10837.0
kharif,chhattisgarh,bastar,ragi,1539.0,0.0
kharif,chhattisgarh,bastar,rice,0.0,0.0
kharif,chhattisgarh,bemetara,bajra,0.0,2.0
kharif,chhattisgarh,bemetara,jowar,0.0,3.0
kharif,chhattisgarh,bemetara,maize,24.0,0.0
kharif,chhattisgarh,bemetara,rice,169282.0,169301.0
kharif,chhattisgarh,bijapur,jowar,0.0,606.0
kharif,chhattisgarh,bijapur,maize,602.0,702.0
kharif,chhattisgarh,bijapur,ragi,36.0,0.0
kharif,chhattisgarh,bijapur,rice,62155.0,61485.0
kharif,chhattisgarh,bilaspur,bajra,16.0,18.0
kharif,chhattisgarh,bilaspur,jowar,0.0,359.0
kharif,chhattisgarh,bilaspur,maize,2515.0,5677.0
kharif,chhattisgarh,bilaspur,rice,217583.0,214060.0
kharif,chhattisgarh,dantewada,jowar,0.0,1091.0
kharif,chhattisgarh,dantewada,maize,2763.0,5920.0
kharif,chhattisgarh,dantewada,ragi,241.0,0.0
kharif,chhattisgarh,dantewada,rice,70688.0,66681.0
kharif,chhattisgarh,dhamtari,jowar,0.0,57.0
kharif,chhattisgarh,dhamtari,maize,1729.0,4962.0
kharif,chhattisgarh,dhamtari,ragi,180.0,0.0
kharif,chhattisgarh,dhamtari,rice,144868.0,141758.0
kharif,chhattisgarh,durg,bajra,15.0,0.0
kharif,chhattisgarh,durg,jowar,0.0,50.0
kharif,chhattisgarh,durg,maize,449.0,677.0
kharif,chhattisgarh,durg,ragi,0.0,5.0
kharif,chhattisgarh,durg,rice,126836.0,126568.0
kharif,chhattisgarh,gariaband,rice,145003.0,145003.0
kharif,chhattisgarh,gariyaband,bajra,0.0,0.0
kharif,chhattisgarh,gariyaband,jowar,0.0,0.0
kharif,chhattisgarh,gariyaband,maize,3753.0,0.0
kharif,chhattisgarh,gariyaband,ragi,12.0,0.0
kharif,chhattisgarh,gariyaband,rice,0.0,3765.0
kharif,chhattisgarh,janjgir-champa,maize,280.0,280.0
kharif,chhattisgarh,janjgirchampa,rice,254651.0,254651.0
kharif,chhattisgarh,jashpur,bajra,23.0,44.0
kharif,chhattisgarh,jashpur,jowar,0.0,411.0
kharif,chhattisgarh,jashpur,maize,5435.0,5891.0
kharif,chhattisgarh,jashpur,ragi,243.0,0.0
kharif,chhattisgarh,jashpur,rice,183914.0,183269.0
kharif,chhattisgarh,kabirdham,bajra,0.0,83.0
kharif,chhattisgarh,kabirdham,jowar,0.0,790.0
kharif,chhattisgarh,kabirdham,maize,2215.0,2829.0
kharif,chhattisgarh,kabirdham,rice,106660.0,105173.0
kharif,chhattisgarh,kanker,jowar,0.0,0.0
kharif,chhattisgarh,kanker,maize,9892.0,3969.862944654681
kharif,chhattisgarh,kanker,ragi,1390.0,0.0
kharif,chhattisgarh,kanker,rice,0.0,7312.137055345319
kharif,chhattisgarh,kondagaon,jowar,0.0,113.0
kharif,chhattisgarh,kondagaon,maize,15479.0,16566.0
kharif,chhattisgarh,kondagaon,ragi,2402.0,0.0
kharif,chhattisgarh,kondagaon,rice,105481.0,106683.0
kharif,chhattisgarh,korba,bajra,0.0,12.0
kharif,chhattisgarh,korba,jowar,0.0,487.0
kharif,chhattisgarh,korba,maize,4082.0,4703.0
kharif,chhattisgarh,korba,rice,108938.0,107818.0
kharif,chhattisgarh,korea,bajra,0.0,13.0
kharif,chhattisgarh,korea,jowar,0.0,640.0
kharif,chhattisgarh,korea,maize,7553.0,8192.0
kharif,chhattisgarh,korea,ragi,5.0,0.0
kharif,chhattisgarh,korea,rice,67752.0,66465.0
kharif,chhattisgarh,mahasamund,bajra,0.0,19.0
kharif,chhattisgarh,mahasamund,jowar,0.0,37.0
kharif,chhattisgarh,mahasamund,maize,161.0,161.0
kharif,chhattisgarh,mahasamund,rice,281144.0,281088.0
kharif,chhattisgarh,mungeli,bajra,0.0,1.0
kharif,chhattisgarh,mungeli,jowar,0.0,1.0
kharif,chhattisgarh,mungeli,maize,88.0,201.0
kharif,chhattisgarh,mungeli,ragi,0.0,4.0
kharif,chhattisgarh,mungeli,rice,115838.0,115719.0
kharif,chhattisgarh,narayanpur,jowar,0.0,10.0
kharif,chhattisgarh,narayanpur,maize,1175.0,3254.0
kharif,chhattisgarh,narayanpur,ragi,369.0,0.0
kharif,chhattisgarh,narayanpur,rice,24257.0,22537.0
kharif,chhattisgarh,raigarh,bajra,7.0,0.0
kharif,chhattisgarh,raigarh,jowar,0.0,38.0
kharif,chhattisgarh,raigarh,maize,856.0,0.0
kharif,chhattisgarh,raigarh,rice,227207.0,228032.0
kharif,chhattisgarh,raipur,bajra,0.0,0.0
kharif,chhattisgarh,raipur,jowar,0.0,0.0
kharif,chhattisgarh,raipur,maize,402.0,0.0
kharif,chhattisgarh,raipur,ragi,0.0,0.0
kharif,chhattisgarh,raipur,rice,162416.0,162818.0
kharif,chhattisgarh,rajnandgaon,bajra,0.0,8.0
kharif,chhattisgarh,rajnandgaon,jowar,0.0,117.0
kharif,chhattisgarh,rajnandgaon,maize,6893.0,7854.0
kharif,chhattisgarh,rajnandgaon,ragi,0.0,172.0
kharif,chhattisgarh,rajnandgaon,rice,294317.0,293059.0
kharif,chhattisgarh,sukma,jowar,0.0,953.0
kharif,chhattisgarh,sukma,maize,2732.0,3052.0
kharif,chhattisgarh,sukma,ragi,328.0,0.0
kharif,chhattisgarh,sukma,rice,84363.0,83418.0
kharif,chhattisgarh,surajpur,jowar,0.0,402.0
kharif,chhattisgarh,surajpur,maize,10229.0,11661.0
kharif,chhattisgarh,surajpur,ragi,212.0,0.0
kharif,chhattisgarh,surajpur,rice,108911.0,107289.0
kharif,chhattisgarh,surguja,bajra,0.0,2.0
kharif,chhattisgarh,surguja,jowar,0.0,1330.0
kharif,chhattisgarh,surguja,maize,9025.0,1915.144149462154
kharif,chhattisgarh,surguja,ragi,4.0,0.0
kharif,chhattisgarh,surguja,rice,116713.0,122494.85585053785
kharif,chhattisgarh,uttar bastar kanker,rice,313411.0,313411.0
kharif,dadra and nagar haveli,dadra and nagar haveli,jowar,451.0,467.0
kharif,dadra and nagar haveli,dadra and nagar haveli,maize,108.0,56.3981579861381
kharif,dadra and nagar haveli,dadra and nagar haveli,ragi,1135.0,1135.0
kharif,dadra and nagar haveli,dadra and nagar haveli,rice,13817.0,13852.601842013863
kharif,gujarat,ahmadabad,bajra,1243.0,12900.0
kharif,gujarat,ahmadabad,jowar,0.0,200.0
kharif,gujarat,ahmadabad,maize,0.0,300.0
kharif,gujarat,ahmadabad,rice,117955.0,105798.0
kharif,gujarat,amreli,bajra,2727.0,0.0
