state,crop,Year,district,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Gujarat,jowar,2017, BANAS KANTHA BHARUCH CHHOTAUDEPUR DANG DEVBHUMI DWARKA GANDHINAGAR JAMNAGAR KACHCHH MAHESANA MAHISAGAR NARMADA NAVSARI PANCH MAHALS PATAN SABAR KANTHA SURAT SURENDRANAGAR TAPI VALSAD AHMADABAD AMRELI ARAVALLI BHARUCH CHHOTAUDEPUR DEVBHUMI DWARKA GIR SOMNATH JUNAGADH MAHISAGAR NARMADA NAVSARI PORBANDAR RAJKOT SURAT TAPI VADODARA VALSAD,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,91198.0,125320.0,47.74256741359244
Gujarat,ragi,2017, DANG NAVSARI VALSAD,KharifKharifKharif,11880.0,10646.0,2.6274730920686857
Gujarat,rice,2017, AHMADABAD ANAND ARAVALLI BHARUCH CHHOTAUDEPUR DANG DOHAD GANDHINAGAR KHEDA MAHESANA MAHISAGAR NARMADA NAVSARI PANCH MAHALS SABAR KANTHA SURAT SURENDRANAGAR TAPI VADODARA VALSAD AHMADABAD ANAND BHARUCH GANDHINAGAR KHEDA MAHESANA MAHISAGAR NAVSARI PANCH MAHALS PATAN SURAT TAPI VADODARA VALSAD,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,855290.0,1889809.0,77.98651561373181
Gujarat,wheat,2017, AHMADABAD AMRELI ANAND ARAVALLI BANAS KANTHA BHARUCH BHAVNAGAR BOTAD CHHOTAUDEPUR DANG DEVBHUMI DWARKA DOHAD GANDHINAGAR GIR SOMNATH JAMNAGAR JUNAGADH KACHCHH KHEDA MAHESANA MAHISAGAR MORBI NARMADA NAVSARI PANCH MAHALS PATAN PORBANDAR RAJKOT SABAR KANTHA SURAT SURENDRANAGAR TAPI VADODARA VALSAD,RabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,1058778.0,3101037.0,96.56661693543849
Haryana,maize,2017, BHIWANI HISAR JHAJJAR KARNAL KURUKSHETRA PANCHKULA ROHTAK SIRSA SONIPAT YAMUNANAGAR,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,6600.0,20600.0,27.10909090909091
Haryana,bajra,2017, AMBALA BHIWANI CHARKI DADRI FARIDABAD FATEHABAD GURGAON HISAR JHAJJAR JIND KAITHAL KARNAL MAHENDRAGARH MEWAT PALWAL PANCHKULA PANIPAT REWARI ROHTAK SIRSA SONIPAT YAMUNANAGAR,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,449400.0,720300.0,35.50476562566763
Haryana,jowar,2017, CHARKI DADRI FARIDABAD GURGAON JHAJJAR MAHENDRAGARH MEWAT PALWAL REWARI ROHTAK SONIPAT,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,47500.0,24700.0,5.264681700728213
Haryana,rice,2017, AMBALA BHIWANI CHARKI DADRI FARIDABAD FATEHABAD GURGAON HISAR JHAJJAR JIND KAITHAL KARNAL KURUKSHETRA MEWAT PALWAL PANCHKULA PANIPAT REWARI ROHTAK SIRSA SONIPAT YAMUNANAGAR,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,1422100.0,4880000.0,65.01238239428224
Haryana,wheat,2017, AMBALA BHIWANI CHARKI DADRI FARIDABAD FATEHABAD GURGAON HISAR JHAJJAR JIND KAITHAL KARNAL KURUKSHETRA MAHENDRAGARH MEWAT PALWAL PANCHKULA PANIPAT REWARI ROHTAK SIRSA SONIPAT YAMUNANAGAR,RabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,2530500.0,12265100.0,103.52518483952805
Himachal Pradesh,maize,2017, BILASPUR CHAMBA HAMIRPUR KANGRA KINNAUR KULLU LAHUL AND SPITI MANDI SHIMLA SIRMAUR SOLAN UNA,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,280811.0,711114.0,34.64398633670919
