source_state,target_state,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
chhattisgarh,puducherry,0.0,0.0,0.0
chhattisgarh,punjab,19452077333.333332,4330085141.184275,-15121992192.149057
chhattisgarh,rajasthan,453900000.0,101039370.34095393,-352860629.65904605
chhattisgarh,sikkim,0.0,0.0,0.0
chhattisgarh,tamil nadu,1540633217333.3333,343082635245.3216,-1197550582088.0117
chhattisgarh,telangana,0.0,0.0,0.0
chhattisgarh,tripura,0.0,0.0,0.0
chhattisgarh,uttar pradesh,2363543333.3333335,526131152.61854905,-1837412180.7147844
chhattisgarh,uttarakhand,816130000.0,181672750.2012838,-634457249.7987162
chhattisgarh,west bengal,451983652000.0,100612786081.70268,-351370865918.2973
dadra and nagar haveli,andaman and nicobar,0.0,0.0,0.0
dadra and nagar haveli,andhra pradesh,0.0,0.0,0.0
dadra and nagar haveli,arunachal pradesh,0.0,0.0,0.0
dadra and nagar haveli,assam,0.0,0.0,0.0
dadra and nagar haveli,bihar,0.0,0.0,0.0
dadra and nagar haveli,chandigarh,0.0,0.0,0.0
dadra and nagar haveli,chhattisgarh,0.0,0.0,0.0
dadra and nagar haveli,daman and diu,0.0,0.0,0.0
dadra and nagar haveli,delhi,0.0,0.0,0.0
dadra and nagar haveli,goa,0.0,0.0,0.0
dadra and nagar haveli,gujarat,0.0,0.0,0.0
dadra and nagar haveli,haryana,0.0,0.0,0.0
dadra and nagar haveli,himachal pradesh,0.0,0.0,0.0
dadra and nagar haveli,jammu and kashmir,0.0,0.0,0.0
dadra and nagar haveli,jharkhand,0.0,0.0,0.0
dadra and nagar haveli,karnataka,0.0,0.0,0.0
dadra and nagar haveli,kerala,0.0,0.0,0.0
dadra and nagar haveli,lakshadeep,0.0,0.0,0.0
dadra and nagar haveli,madhya pradesh,0.0,0.0,0.0
dadra and nagar haveli,maharashtra,0.0,0.0,0.0
dadra and nagar haveli,manipur,0.0,0.0,0.0
dadra and nagar haveli,meghalaya,0.0,0.0,0.0
dadra and nagar haveli,mizoram,0.0,0.0,0.0
dadra and nagar haveli,nagaland,0.0,0.0,0.0
dadra and nagar haveli,odisha,0.0,0.0,0.0
dadra and nagar haveli,puducherry,0.0,0.0,0.0
dadra and nagar haveli,punjab,0.0,0.0,0.0
dadra and nagar haveli,rajasthan,0.0,0.0,0.0
dadra and nagar haveli,sikkim,0.0,0.0,0.0
dadra and nagar haveli,tamil nadu,0.0,0.0,0.0
dadra and nagar haveli,telangana,0.0,0.0,0.0
dadra and nagar haveli,tripura,0.0,0.0,0.0
dadra and nagar haveli,uttar pradesh,0.0,0.0,0.0
dadra and nagar haveli,uttarakhand,0.0,0.0,0.0
dadra and nagar haveli,west bengal,0.0,0.0,0.0
daman and diu,andaman and nicobar,0.0,0.0,0.0
daman and diu,andhra pradesh,0.0,0.0,0.0
daman and diu,arunachal pradesh,0.0,0.0,0.0
daman and diu,assam,0.0,0.0,0.0
daman and diu,bihar,0.0,0.0,0.0
daman and diu,chandigarh,0.0,0.0,0.0
daman and diu,chhattisgarh,0.0,0.0,0.0
daman and diu,dadra and nagar haveli,0.0,0.0,0.0
daman and diu,delhi,0.0,0.0,0.0
daman and diu,goa,0.0,0.0,0.0
daman and diu,gujarat,0.0,0.0,0.0
daman and diu,haryana,0.0,0.0,0.0
daman and diu,himachal pradesh,0.0,0.0,0.0
daman and diu,jammu and kashmir,0.0,0.0,0.0
daman and diu,jharkhand,0.0,0.0,0.0
daman and diu,karnataka,0.0,0.0,0.0
daman and diu,kerala,0.0,0.0,0.0
daman and diu,lakshadeep,0.0,0.0,0.0
daman and diu,madhya pradesh,0.0,0.0,0.0
daman and diu,maharashtra,0.0,0.0,0.0
daman and diu,manipur,0.0,0.0,0.0
daman and diu,meghalaya,0.0,0.0,0.0
daman and diu,mizoram,0.0,0.0,0.0
daman and diu,nagaland,0.0,0.0,0.0
daman and diu,odisha,0.0,0.0,0.0
daman and diu,puducherry,0.0,0.0,0.0
daman and diu,punjab,0.0,0.0,0.0
daman and diu,rajasthan,0.0,0.0,0.0
daman and diu,sikkim,0.0,0.0,0.0
daman and diu,tamil nadu,0.0,0.0,0.0
daman and diu,telangana,0.0,0.0,0.0
daman and diu,tripura,0.0,0.0,0.0
daman and diu,uttar pradesh,0.0,0.0,0.0
daman and diu,uttarakhand,0.0,0.0,0.0
daman and diu,west bengal,0.0,0.0,0.0
delhi,andaman and nicobar,0.0,0.0,0.0
delhi,andhra pradesh,0.0,0.0,0.0
delhi,arunachal pradesh,0.0,0.0,0.0
delhi,assam,71016599666.66667,0.0,-71016599666.66667
delhi,bihar,0.0,0.0,0.0
delhi,chandigarh,19386808333.333332,0.0,-19386808333.333332
delhi,chhattisgarh,0.0,0.0,0.0
delhi,dadra and nagar haveli,0.0,0.0,0.0
delhi,daman and diu,0.0,0.0,0.0
delhi,goa,0.0,0.0,0.0
delhi,gujarat,11479220000.0,0.0,-11479220000.0
delhi,haryana,503554333.3333333,0.0,-503554333.3333333
delhi,himachal pradesh,2383716666.6666665,0.0,-2383716666.6666665
delhi,jammu and kashmir,0.0,0.0,0.0
delhi,jharkhand,0.0,0.0,0.0
delhi,karnataka,0.0,0.0,0.0
delhi,kerala,0.0,0.0,0.0
delhi,lakshadeep,0.0,0.0,0.0
delhi,madhya pradesh,1130160966.6666667,0.0,-1130160966.6666667
delhi,maharashtra,0.0,0.0,0.0
delhi,manipur,0.0,0.0,0.0
delhi,meghalaya,0.0,0.0,0.0
delhi,mizoram,0.0,0.0,0.0
delhi,nagaland,6399066666.666667,0.0,-6399066666.666667
delhi,odisha,1428875000.0,0.0,-1428875000.0
delhi,puducherry,0.0,0.0,0.0
delhi,punjab,251938166.66666666,0.0,-251938166.66666666
delhi,rajasthan,142466216.66666666,0.0,-142466216.66666666
delhi,sikkim,0.0,0.0,0.0
delhi,tamil nadu,0.0,0.0,0.0
delhi,telangana,0.0,0.0,0.0
delhi,tripura,3325633333.333333,0.0,-3325633333.333333
delhi,uttar pradesh,2093000000.0,0.0,-2093000000.0
delhi,uttarakhand,0.0,0.0,0.0
delhi,west bengal,10646016666.666666,0.0,-10646016666.666666
goa,andaman and nicobar,0.0,0.0,0.0
goa,andhra pradesh,0.0,0.0,0.0
goa,arunachal pradesh,0.0,0.0,0.0
goa,assam,0.0,0.0,0.0
goa,bihar,0.0,0.0,0.0
goa,chandigarh,0.0,0.0,0.0
goa,chhattisgarh,0.0,0.0,0.0
goa,dadra and nagar haveli,0.0,0.0,0.0
goa,daman and diu,0.0,0.0,0.0
goa,delhi,0.0,0.0,0.0
goa,gujarat,0.0,0.0,0.0
goa,haryana,159497333.3333333,0.0,-159497333.3333333
goa,himachal pradesh,0.0,0.0,0.0
goa,jammu and kashmir,0.0,0.0,0.0
goa,jharkhand,0.0,0.0,0.0
goa,karnataka,0.0,0.0,0.0
goa,kerala,1500160000.0,0.0,-1500160000.0
goa,lakshadeep,0.0,0.0,0.0
goa,madhya pradesh,0.0,0.0,0.0
goa,maharashtra,2931976666.6666665,0.0,-2931976666.6666665
goa,manipur,0.0,0.0,0.0
goa,meghalaya,0.0,0.0,0.0
goa,mizoram,0.0,0.0,0.0
goa,nagaland,0.0,0.0,0.0
goa,odisha,0.0,0.0,0.0
goa,puducherry,0.0,0.0,0.0
goa,punjab,2223018166.6666665,0.0,-2223018166.6666665
goa,rajasthan,0.0,0.0,0.0
goa,sikkim,0.0,0.0,0.0
goa,tamil nadu,0.0,0.0,0.0
goa,telangana,0.0,0.0,0.0
goa,tripura,0.0,0.0,0.0
goa,uttar pradesh,0.0,0.0,0.0
goa,uttarakhand,0.0,0.0,0.0
goa,west bengal,0.0,0.0,0.0
gujarat,andaman and nicobar,0.0,0.0,0.0
gujarat,andhra pradesh,3744296500.0,1750320574.5220094,-1993975925.4779906
gujarat,arunachal pradesh,0.0,0.0,0.0
gujarat,assam,706977833.3333334,330486073.2621804,-376491760.071153
gujarat,bihar,17533000.0,13490299.419736689,-4042700.580263311
gujarat,chandigarh,0.0,0.0,0.0
gujarat,chhattisgarh,0.0,0.0,0.0
gujarat,dadra and nagar haveli,0.0,0.0,0.0
gujarat,daman and diu,0.0,0.0,0.0
gujarat,delhi,0.0,0.0,0.0
gujarat,goa,0.0,0.0,0.0
gujarat,haryana,14195890666.666666,7180756013.981209,-7015134652.685457
gujarat,himachal pradesh,0.0,0.0,0.0
gujarat,jammu and kashmir,2344052666.666667,1095758204.573235,-1248294462.093432
gujarat,jharkhand,0.0,0.0,0.0
gujarat,karnataka,8400255500.0,3926809757.958984,-4473445742.041016
gujarat,kerala,1366353333.3333333,638719810.6239884,-727633522.7093449
gujarat,lakshadeep,0.0,0.0,0.0
gujarat,madhya pradesh,9188803983.333334,4295427102.869159,-4893376880.464175
gujarat,maharashtra,5739113333.333333,2682823902.1260533,-3056289431.2072797
gujarat,manipur,0.0,0.0,0.0
gujarat,meghalaya,0.0,0.0,0.0
gujarat,mizoram,0.0,0.0,0.0
gujarat,nagaland,0.0,0.0,0.0
gujarat,odisha,0.0,0.0,0.0
gujarat,puducherry,0.0,0.0,0.0
gujarat,punjab,39365513100.0,23450927347.98711,-15914585752.012886
gujarat,rajasthan,1220353166.6666665,570470115.2271872,-649883051.4394794
gujarat,sikkim,0.0,0.0,0.0
gujarat,tamil nadu,4455701833.333334,2082876340.8076181,-2372825492.525716
gujarat,telangana,709285500.0,331564822.3531792,-377720677.6468208
gujarat,tripura,0.0,0.0,0.0
gujarat,uttar pradesh,22269179500.0,10502181904.758005,-11766997595.241993
gujarat,uttarakhand,0.0,0.0,0.0
gujarat,west bengal,2139180166.6666667,999987863.7618811,-1139192302.9047856
haryana,andaman and nicobar,0.0,0.0,0.0
haryana,andhra pradesh,171691044000.0,171691044000.0,0.0
