source_state,target_state,baseline_alt_trade_kcal,staple_deficit_kcal,quantity_kcal,is_new_link,pre_scale_trade_kcal,State,scale_factor,optimized_alt_prod_kcal,pre_scale_alt_trade_kcal,optimized_alt_trade_kcal,capacity_limited,optimized_trade_kcal
arunachal pradesh,chhattisgarh,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,daman and diu,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,delhi,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,goa,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,gujarat,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,haryana,0.0,62642792.7059566,0.0,True,62642792.7059566,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,62642792.7059566
arunachal pradesh,himachal pradesh,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,jammu and kashmir,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,jharkhand,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,karnataka,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,kerala,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,madhya pradesh,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,maharashtra,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
