source_endpoint,crop_name,state_name,agriculture_year,year_code,season_name,production_tonnes
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Daman and Diu,2015 - 2016,2015,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Daman and Diu,2015 - 2016,2015,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Daman and Diu,2016 - 2017,2016,Kharif,20.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Daman and Diu,2016 - 2017,2016,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Daman and Diu,2016 - 2017,2016,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Daman and Diu,2016 - 2017,2016,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Daman and Diu,2017 - 2018,2017,Kharif,50.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Daman and Diu,2017 - 2018,2017,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Daman and Diu,2017 - 2018,2017,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Daman and Diu,2017 - 2018,2017,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2011 - 2012,2011,Kharif,2689.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2011 - 2012,2011,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2011 - 2012,2011,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2011 - 2012,2011,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2012 - 2013,2012,Kharif,3815.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2012 - 2013,2012,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2012 - 2013,2012,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2012 - 2013,2012,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2013 - 2014,2013,Kharif,3815.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2013 - 2014,2013,Rabi,0.0
