Crop,State,Year,Output_lakh,Production_tonne,rupee_per_kg,match_status,MSP_rs_per_kg,diff_rs_per_kg,pct_diff_from_msp
Jowar,Telangana,2017-18,14705,73016.0,20.139421496658265,both,17.125,3.014421496658265,17.602461294354832
Jowar,Tripura,2017-18,0,701.88,0.0,both,17.125,-17.125,-100.0
Jowar,Uttar Pradesh,2017-18,26393,214630.0,12.29697619158552,both,17.125,-4.82802380841448,-28.192839757164847
Jowar,West Bengal,2017-18,3,18.0,16.666666666666668,both,17.125,-0.45833333333333215,-2.6763990267639834
Jowar,Dadra & Nagar Haveli,2017-18,1,11.0,9.090909090909092,both,17.125,-8.034090909090908,-46.914399469143994
Jowar,Delhi,2017-18,310,3034.56,10.215649056205844,both,17.125,-6.909350943794156,-40.34657485427244
Bajra,Andhra Pradesh,2017-18,9740,92496.0,10.530185089084933,both,14.25,-3.7198149109150673,-26.10396428712328
Bajra,Bihar,2017-18,698,4965.79,14.056172331089313,both,14.25,-0.19382766891068748,-1.3601941677942981
Bajra,Gujarat,2017-18,113932,964710.0,11.80997398181837,both,14.25,-2.44002601818163,-17.122989601274597
Bajra,Haryana,2017-18,69910,720900.0,9.697600221944793,both,14.25,-4.552399778055207,-31.946665109159348
Bajra,Himachal Pradesh,2017-18,7,58.0,12.06896551724138,both,14.25,-2.181034482758619,-15.30550514216575
Bajra,Jammu & Kashmir,2017-18,499,7442.85,6.704421021517295,both,14.25,-7.545578978482705,-52.951431427948805
Bajra,Jharkhand,2017-18,50,353.66,14.13787253294124,both,14.25,-0.11212746705876064,-0.7868594179562151
Bajra,Karnataka,2017-18,28357,286694.1,9.891030195598724,both,14.25,-4.358969804401276,-30.589261785272118
Bajra,Madhya Pradesh,2017-18,82567,755000.0,10.936026490066226,both,14.25,-3.313973509933774,-23.255954455675607
Bajra,Maharashtra,2017-18,82873,669012.0,12.387371228019829,both,14.25,-1.8626287719801713,-13.071079101615236
Bajra,Nagaland,2017-18,103,709.8,14.51112989574528,both,14.25,0.26112989574527923,1.8324904964581
Bajra,Odisha,2017-18,96,1089.44,8.81186664708474,both,14.25,-5.43813335291526,-38.16233931870359
Bajra,Punjab,2017-18,67,598.0,11.20401337792642,both,14.25,-3.0459866220735794,-21.375344716305822
Bajra,Rajasthan,2017-18,328531,3753351.17,8.753004584966666,both,14.25,-5.496995415033334,-38.57540642128656
Bajra,Tamil Nadu,2017-18,18524,143519.31,12.906973981410584,both,14.25,-1.3430260185894163,-9.424743990101167
Bajra,Telangana,2017-18,1494,9513.0,15.704824976348156,both,14.25,1.4548249763481564,10.209298079636186
Bajra,Uttar Pradesh,2017-18,150081,1794500.0,8.36338813039844,both,14.25,-5.886611869601561,-41.30955697966008
Bajra,West Bengal,2017-18,9,60.0,15.0,both,14.25,0.75,5.2631578947368425
Bajra,Daman & Diu,2017-18,68,578.52,11.754131231418102,both,14.25,-2.4958687685818983,-17.51486855145192
Bajra,Delhi,2017-18,383,3255.95,11.763079899875612,both,14.25,-2.4869201001243884,-17.452070878065882
Bajra,Puducherry,2017-18,4,39.0,10.256410256410255,both,14.25,-3.9935897435897445,-28.02519118308593
Maize,Andhra Pradesh,2017-18,251219,2322470.0,10.81688891568029,both,14.25,-3.4331110843197106,-24.092007609261124
Maize,Arunachal Pradesh,2017-18,8496,77238.01,10.999765529950864,both,14.25,-3.2502344700491363,-22.808662947713238
Maize,Assam,2017-18,9694,98773.88,9.814335530810371,both,14.25,-4.4356644691896285,-31.127469959225465
Maize,Bihar,2017-18,230377,2354867.82,9.783011939922812,both,14.25,-4.466988060077188,-31.34728463212062
Maize,Chhattisgarh,2017-18,42312,317515.8,13.325951023539616,both,14.25,-0.9240489764603836,-6.484554220774622
Maize,Gujarat,2017-18,71210,665953.0,10.692946799548915,both,14.25,-3.557053200451085,-24.96177684527077
Maize,Haryana,2017-18,2036,19002.0,10.714661614566888,both,14.25,-3.5353383854331124,-24.80939217847798
Maize,Himachal Pradesh,2017-18,89103,711114.0,12.530058471637458,both,14.25,-1.7199415283625417,-12.069765111316082
Maize,Jammu & Kashmir,2017-18,78521,546041.38,14.380045702763406,both,14.25,0.13004570276340566,0.9126014229010924
Maize,Jharkhand,2017-18,60578,596824.25,10.150056737808493,both,14.25,-4.099943262191507,-28.771531664501804
Maize,Karnataka,2017-18,408862,3853553.8,10.60999849022479,both,14.25,-3.6400015097752103,-25.54387024403656
Maize,Kerala,2017-18,0,159.0,0.0,both,14.25,-14.25,-100.0
Maize,Madhya Pradesh,2017-18,353745,3537445.0,10.000014134495377,both,14.25,-4.249985865504623,-29.824462214067534
Maize,Maharashtra,2017-18,333126,3051330.7,10.91740072618153,both,14.25,-3.33259927381847,-23.38666157065593
Maize,Manipur,2017-18,6487,63096.99,10.280997556301816,both,14.25,-3.9690024436981837,-27.85264872770655
Maize,Meghalaya,2017-18,3566,41622.54,8.56747329692037,both,14.25,-5.682526703079629,-39.87738037248863
Maize,Mizoram,2017-18,852,9470.3,8.996547099880681,both,14.25,-5.253452900119319,-36.8663361411882
Maize,Nagaland,2017-18,19148,136772.49,13.99989135242036,both,14.25,-0.2501086475796406,-1.7551484040676533
Maize,Odisha,2017-18,11759,117945.73,9.969839518565022,both,14.25,-4.280160481434978,-30.03621390480686
Maize,Punjab,2017-18,45764,422712.0,10.826283616268286,both,14.25,-3.4237163837317137,-24.026079885836587
Maize,Rajasthan,2017-18,189572,1794342.27,10.564985464005147,both,14.25,-3.6850145359948527,-25.85975112978844
Maize,Sikkim,2017-18,11262,67955.29,16.5726612306415,both,14.25,2.3226612306415007,16.299377057133338
Maize,Tamil Nadu,2017-18,310457,2591675.24,11.979008604488577,both,14.25,-2.270991395511423,-15.93678172288718
Maize,Telangana,2017-18,260241,2555637.75,10.18301596147576,both,14.25,-4.0669840385242395,-28.54023886683677
Maize,Tripura,2017-18,1238,22479.43,5.50725707902736,both,14.25,-8.74274292097264,-61.35258190156239
Maize,Uttar Pradesh,2017-18,160724,1598488.0,10.054751740394671,both,14.25,-4.195248259605329,-29.440338663897045
Maize,Uttarakhand,2017-18,4576,43340.0,10.558375634517766,both,14.25,-3.691624365482234,-25.906135898120937
Maize,West Bengal,2017-18,111014,1134880.0,9.782003383617653,both,14.25,-4.467996616382347,-31.354362220227
Maize,A & N Islands,2017-18,10,37.58,26.609898882384247,both,14.25,12.359898882384247,86.73613250795964
Maize,Dadra & Nagar Haveli,2017-18,0,4.0,0.0,both,14.25,-14.25,-100.0
Maize,Delhi,2017-18,21,174.01,12.068271938394346,both,14.25,-2.1817280616056536,-15.310372362144937
Ragi,Andhra Pradesh,2017-18,4815,44695.0,10.773017116008502,both,19.0,-8.226982883991498,-43.29990991574473
Ragi,Bihar,2017-18,781,4185.73,18.658633022196845,both,19.0,-0.3413669778031547,-1.79666830422713
Ragi,Chhattisgarh,2017-18,127,1207.5,10.5175983436853,both,19.0,-8.4824016563147,-44.644219243761576
Ragi,Gujarat,2017-18,1100,10752.0,10.230654761904765,both,19.0,-8.769345238095235,-46.15444862155387
Ragi,Himachal Pradesh,2017-18,187,1918.0,9.749739311783108,both,19.0,-9.250260688216892,-48.68558256956259
Ragi,Jharkhand,2017-18,1556,18480.64,8.41962183127857,both,19.0,-10.58037816872143,-55.68620088800752
Ragi,Karnataka,2017-18,121697,1286034.0,9.46296909724004,both,19.0,-9.53703090275996,-50.19489948821032
Ragi,Kerala,2017-18,11,110.03,9.99727347087158,both,19.0,-9.00272652912842,-47.38277120593905
Ragi,Maharashtra,2017-18,15475,106485.0,14.532563271822324,both,19.0,-4.467436728177676,-23.512824885145662
Ragi,Nagaland,2017-18,33,330.14,9.995759374810689,both,19.0,-9.004240625189311,-47.390740132575324
Ragi,Odisha,2017-18,3455,32666.53,10.576574861180545,both,19.0,-8.423425138819455,-44.3338165201024
Ragi,Tamil Nadu,2017-18,40034,321298.14,12.460078355884662,both,19.0,-6.5399216441153385,-34.420640232185995
Ragi,Telangana,2017-18,123,1137.0,10.817941952506596,both,19.0,-8.182058047493404,-43.06346340786003
Ragi,Uttarakhand,2017-18,15323,140801.0,10.882735207846537,both,19.0,-8.117264792153463,-42.722446274491915
Ragi,West Bengal,2017-18,1671,13560.0,12.323008849557525,both,19.0,-6.6769911504424755,-35.14205868653934
Ragi,Dadra & Nagar Haveli,2017-18,148,1445.0,10.242214532871971,both,19.0,-8.757785467128029,-46.093607721726464
Ragi,Puducherry,2017-18,15,130.01,11.537574032766711,both,19.0,-7.462425967233289,-39.2759261433331
Rice,Andhra Pradesh,2018-19,1339466,8234666.67,16.266183607405203,both,15.7,0.566183607405204,3.606265015319771
Rice,Arunachal Pradesh,2018-19,46800,240000.0,19.5,both,15.7,3.8000000000000007,24.20382165605096
Rice,Assam,2018-19,693574,5220621.0,13.285277747608951,both,15.7,-2.414722252391048,-15.380396512044891
