scenario_key,scenario_label,strategy,metric,baseline_total,optimized_total,pct_reduction,display_pct_change,solver_status,metric_key,direct_key_share,fallback_key_share,direct_area_share,fallback_area_share,benchmark
MSP,MSP baseline,Nitrogen based,Nitrogen application,12891996042.564434,11498738207.654827,10.80715375888732,-10.80715375888732,kharif:Optimal;rabi:Optimal,N_applied,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Nitrogen based,Phosphorus Surplus,3589737437.875405,3122255625.6518555,13.022729943731752,-13.022729943731752,kharif:Optimal;rabi:Optimal,P_surplus,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Nitrogen based,Phosphorus Surplus,3589737437.875405,2970597741.3388777,17.247492532572704,-17.247492532572704,kharif:Optimal;rabi:Optimal,P_surplus,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Nitrogen based,Nitrogen Surplus,8285335580.939312,6825365173.747131,17.621137887895465,-17.621137887895465,kharif:Optimal;rabi:Optimal,N_surplus,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Nitrogen based,Nitrogen Surplus,8285335580.939312,6624987861.425215,20.039595298152822,-20.039595298152822,kharif:Optimal;rabi:Optimal,N_surplus,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Nitrogen based,Water Demand,467586094005.25684,348227098001.31995,25.526635101897405,-25.526635101897405,kharif:Optimal;rabi:Optimal,water,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Nitrogen based,Water Demand,467586094005.25684,318394096594.1963,31.906850807539897,-31.906850807539897,kharif:Optimal;rabi:Optimal,water,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Water based,Nitrogen Emission,287739236.80885214,266472591.3701014,7.390943854097443,-7.390943854097443,kharif:Optimal;rabi:Optimal,N_emission,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Water based,Nitrogen Emission,287739236.80885214,261303334.62501252,9.187451276031998,-9.187451276031998,kharif:Optimal;rabi:Optimal,N_emission,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Water based,Nitrogen Leach,2391590187.444786,2153093650.4479265,9.972299528945348,-9.972299528945348,kharif:Optimal;rabi:Optimal,N_leach,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
