Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,income_mode,objective_mode
0.11,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108374288.332741,413726460076.34033,8.10837428833274,413.72646007634035,True,Optimal|Optimal,profit,raw
0.12,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108374288.332741,413726460076.34033,8.10837428833274,413.72646007634035,True,Optimal|Optimal,profit,raw
0.13,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108374288.332741,413726460076.34033,8.10837428833274,413.72646007634035,True,Optimal|Optimal,profit,raw
0.14,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108374288.332741,413726460076.34033,8.10837428833274,413.72646007634035,True,Optimal|Optimal,profit,raw
0.15,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108374288.332741,413726460076.34033,8.10837428833274,413.72646007634035,True,Optimal|Optimal,profit,raw
0.16,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108374288.332741,413726460076.34033,8.10837428833274,413.72646007634035,True,Optimal|Optimal,profit,raw
0.17,5163366254.601926,312530628547.56287,5.163366254601926,312.53062854756286,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108172483.752926,413726499735.8849,8.108172483752925,413.7264997358849,True,Optimal|Optimal,profit,raw
0.18,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108168774.671915,413726500512.30786,8.108168774671915,413.72650051230784,True,Optimal|Optimal,profit,raw
0.19,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108168774.671915,413726500512.30786,8.108168774671915,413.72650051230784,True,Optimal|Optimal,profit,raw
0.2,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108168774.671915,413726500512.30786,8.108168774671915,413.72650051230784,True,Optimal|Optimal,profit,raw
0.21,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108168774.671915,413726500512.30786,8.108168774671915,413.72650051230784,True,Optimal|Optimal,profit,raw
0.22,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944759046.247558,101195884448.17511,2.944759046247558,101.19588444817511,Optimal,1,True,1788,2529,profit,raw,8108121591.768475,413726513772.16095,8.108121591768475,413.72651377216096,True,Optimal|Optimal,profit,raw
