source_state,target_state,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
bihar,mizoram,0.0,0.0,0.0
bihar,nagaland,712425000.0,490101593.4718298,-222323406.52817023
bihar,odisha,0.0,0.0,0.0
bihar,puducherry,0.0,0.0,0.0
bihar,punjab,93025034416.66666,53241139366.05782,-39783895050.60884
bihar,rajasthan,270802000.0,186293984.2304221,-84508015.76957789
bihar,sikkim,0.0,0.0,0.0
bihar,tamil nadu,2221076833.333333,1512115635.7238615,-708961197.6094718
bihar,telangana,690690000.0,475149341.4676045,-215540658.53239548
bihar,tripura,3031043333.333333,1524998997.0684748,-1506044336.2648582
bihar,uttar pradesh,2007200500.0,1147295191.2946484,-859905308.7053516
bihar,uttarakhand,228192000.0,127901266.97047831,-100290733.02952169
bihar,west bengal,7157098266.666667,4127573687.0043054,-3029524579.6623616
chandigarh,andaman and nicobar,0.0,0.0,0.0
chandigarh,andhra pradesh,714840000.0,714840000.0,0.0
chandigarh,arunachal pradesh,0.0,0.0,0.0
chandigarh,assam,17212896666.666668,17212896666.666668,0.0
chandigarh,bihar,37099128333.33332,37099128333.33332,0.0
chandigarh,chhattisgarh,712425000.0,712425000.0,0.0
chandigarh,dadra and nagar haveli,0.0,0.0,0.0
chandigarh,daman and diu,0.0,0.0,0.0
chandigarh,delhi,1573520000.0,1573520000.0,0.0
chandigarh,goa,0.0,0.0,0.0
chandigarh,gujarat,1431290000.0,1431290000.0,0.0
chandigarh,haryana,0.0,0.0,0.0
chandigarh,himachal pradesh,0.0,0.0,0.0
chandigarh,jammu and kashmir,3858743333.333333,3858743333.333333,0.0
chandigarh,jharkhand,0.0,0.0,0.0
chandigarh,karnataka,16747723333.333332,16747723333.333332,0.0
chandigarh,kerala,784090000.0,784090000.0,0.0
chandigarh,lakshadeep,0.0,0.0,0.0
chandigarh,madhya pradesh,0.0,0.0,0.0
chandigarh,maharashtra,1497320000.0,1497320000.0,0.0
chandigarh,manipur,0.0,0.0,0.0
chandigarh,meghalaya,0.0,0.0,0.0
chandigarh,mizoram,0.0,0.0,0.0
chandigarh,nagaland,1570850000.0,1570850000.0,0.0
chandigarh,odisha,710815000.0,710815000.0,0.0
chandigarh,puducherry,0.0,0.0,0.0
chandigarh,punjab,0.0,0.0,0.0
chandigarh,rajasthan,0.0,0.0,0.0
chandigarh,sikkim,0.0,0.0,0.0
chandigarh,tamil nadu,3840138333.333333,3840138333.333333,0.0
chandigarh,telangana,0.0,0.0,0.0
chandigarh,tripura,0.0,0.0,0.0
chandigarh,uttar pradesh,8250011666.666666,8250011666.666666,0.0
chandigarh,uttarakhand,0.0,0.0,0.0
chandigarh,west bengal,0.0,0.0,0.0
chhattisgarh,andaman and nicobar,0.0,0.0,0.0
chhattisgarh,andhra pradesh,2287248706333.3335,509147761844.198,-1778100944489.1355
chhattisgarh,arunachal pradesh,0.0,0.0,0.0
chhattisgarh,assam,120364015333.33334,26793356071.79759,-93570659261.53575
chhattisgarh,bihar,1297505486666.6667,288828238349.26855,-1008677248317.3982
chhattisgarh,chandigarh,1581530000.0,352052864.8938728,-1229477135.1061273
chhattisgarh,dadra and nagar haveli,0.0,0.0,0.0
chhattisgarh,daman and diu,0.0,0.0,0.0
chhattisgarh,delhi,3140098000.0,698994326.3469679,-2441103673.6530323
chhattisgarh,goa,30749262666.666664,6844869218.52523,-23904393448.141434
chhattisgarh,gujarat,55856993333.33333,12433918121.918617,-43423075211.41471
chhattisgarh,haryana,5857670833.333333,1359066809.7605314,-4498604023.572802
chhattisgarh,himachal pradesh,3073763333.333333,684228049.7402769,-2389535283.593056
chhattisgarh,jammu and kashmir,7728166666.666666,1720310847.9619932,-6007855818.704673
chhattisgarh,jharkhand,2099494514000.0,467353169704.4439,-1632141344295.5562
