crop,source_state,target_state,original_trade_qtl,optimized_trade_qtl,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
rice,assam,nagaland,44417.5,44667.37617998131,15812630000.0,15901585920.073345,88955920.07334518
rice,assam,odisha,0.0,0.0,0.0,0.0,0.0
rice,assam,punjab,127460.625,128177.67062555366,45375982500.0,45631250742.6971,255268242.69709778
rice,assam,puducherry,0.0,0.0,0.0,0.0,0.0
rice,assam,rajasthan,0.0,0.0,0.0,0.0,0.0
rice,assam,sikkim,0.0,0.0,0.0,0.0,0.0
rice,assam,telangana,441.25,443.73230684790343,157085000.0,157968701.23785362,883701.2378536165
rice,assam,tamil nadu,0.0,0.0,0.0,0.0,0.0
rice,assam,tripura,1005419.5,1011075.6126569193,357929342000.0,359942918105.8633,2013576105.8632812
rice,assam,uttarakhand,884.25,889.2244585388297,314793000.0,316563907.2398234,1770907.239823401
rice,assam,uttar pradesh,6499.416666666667,6535.97994485147,2313792333.3333335,2326808860.367123,13016527.033789635
rice,assam,west bengal,2151.0,2163.1007184812242,765756000.0,770063855.7793158,4307855.779315829
rice,bihar,andhra pradesh,5130.333333333333,2581.207962921557,1826398666.6666665,918910034.8000742,-907488631.8665923
rice,bihar,andaman and nicobar,0.0,0.0,0.0,0.0,0.0
rice,bihar,arunachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,bihar,assam,15238.166666666666,7666.729349683419,5424787333.333333,2729355648.487297,-2695431684.846036
rice,bihar,chhattisgarh,221.5,111.44257626933756,78854000.0,39673557.151884176,-39180442.848115824
rice,bihar,chandigarh,2163.3333333333335,1088.4308803431163,770146666.6666667,387481393.4021494,-382665273.26451737
rice,bihar,daman and diu,0.0,0.0,0.0,0.0,0.0
rice,bihar,delhi,0.0,0.0,0.0,0.0,0.0
rice,bihar,dadra and nagar haveli,0.0,0.0,0.0,0.0,0.0
rice,bihar,goa,0.0,0.0,0.0,0.0,0.0
rice,bihar,gujarat,0.0,0.0,0.0,0.0,0.0
rice,bihar,himachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,bihar,haryana,57167.583333333336,28762.5407031996,20351659666.666668,10239464490.339058,-10112195176.32761
rice,bihar,jharkhand,0.0,0.0,0.0,0.0,0.0
rice,bihar,jammu and kashmir,0.0,0.0,0.0,0.0,0.0
rice,bihar,kerala,0.0,0.0,0.0,0.0,0.0
rice,bihar,karnataka,0.0,0.0,0.0,0.0,0.0
rice,bihar,lakshadeep,0.0,0.0,0.0,0.0,0.0
rice,bihar,maharashtra,0.0,0.0,0.0,0.0,0.0
rice,bihar,meghalaya,0.0,0.0,0.0,0.0,0.0
rice,bihar,manipur,0.0,0.0,0.0,0.0,0.0
rice,bihar,madhya pradesh,0.0,0.0,0.0,0.0,0.0
rice,bihar,mizoram,0.0,0.0,0.0,0.0,0.0
rice,bihar,nagaland,0.0,0.0,0.0,0.0,0.0
rice,bihar,odisha,0.0,0.0,0.0,0.0,0.0
rice,bihar,punjab,163455.38333333333,82238.77663096528,58190116466.666664,29277004480.62364,-28913111986.043026
rice,bihar,puducherry,0.0,0.0,0.0,0.0,0.0
rice,bihar,rajasthan,0.0,0.0,0.0,0.0,0.0
rice,bihar,sikkim,0.0,0.0,0.0,0.0,0.0
rice,bihar,telangana,0.0,0.0,0.0,0.0,0.0
rice,bihar,tamil nadu,240.75,121.12776630628903,85707000.0,43121484.8050389,-42585515.1949611
rice,bihar,tripura,8514.166666666666,4283.705047945154,3031043333.333333,1524998997.0684748,-1506044336.2648582
rice,bihar,uttarakhand,442.0,222.38202578350882,157352000.0,79168001.17892914,-78183998.82107086
rice,bihar,uttar pradesh,3549.5,1785.8484174628159,1263622000.0,635762036.6167624,-627859963.3832376
rice,bihar,west bengal,12099.433333333334,6087.548632351085,4307398266.666667,2167167313.1169863,-2140230953.5496807
rice,chhattisgarh,andhra pradesh,6424855.916666667,1430190.342258983,2287248706333.3335,509147761844.198,-1778100944489.1355
rice,chhattisgarh,andaman and nicobar,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,arunachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,assam,338101.1666666667,75262.2361567348,120364015333.33334,26793356071.79759,-93570659261.53575
