Alpha,Objective Nitrogen,Objective Water,nitrogen_mt,water_bcm
0.67,3492848000.7141128,124049909054.05301,3.4928480007141127,124.049909054053
0.68,3488541684.206343,124058793223.45778,3.4885416842063433,124.05879322345778
0.69,3479113282.364,124079269438.09282,3.4791132823639996,124.07926943809282
0.7,3485114242.1754646,124065403572.238,3.485114242175465,124.06540357223801
0.71,3485114242.1754646,124065403572.238,3.485114242175465,124.06540357223801
0.72,3485114242.1754646,124065403572.238,3.485114242175465,124.06540357223801
0.73,3485964115.295561,124063151182.35173,3.4859641152955607,124.06315118235173
0.74,3485799608.235868,124063599747.96365,3.485799608235868,124.06359974796365
0.75,3485443901.7569265,124064626958.00378,3.4854439017569265,124.06462695800379
0.76,3480674294.5187926,124079460289.99768,3.4806742945187925,124.07946028999768
0.77,3457536502.336685,124155305363.17134,3.4575365023366853,124.15530536317134
0.78,3456213786.2681813,124159759097.23407,3.456213786268181,124.15975909723407
0.79,3456020988.2914114,124160448563.78757,3.4560209882914115,124.16044856378757
0.8,3449338973.033062,124186759672.99226,3.449338973033062,124.18675967299227
0.81,3449281691.5858264,124186994925.44888,3.4492816915858264,124.18699492544889
0.82,3445501538.845858,124203956881.55846,3.4455015388458583,124.20395688155845
0.83,3443879649.6754313,124211642222.25746,3.443879649675431,124.21164222225747
0.84,3444590190.776496,124207970430.46358,3.4445901907764958,124.20797043046358
0.85,3443934794.897486,124211619627.30402,3.443934794897486,124.21161962730402
0.86,3442610913.3466315,124219245235.00954,3.4426109133466314,124.21924523500954
0.87,3430926194.975831,124293039271.59084,3.430926194975831,124.29303927159084
0.88,3405240067.6298623,124490267361.5222,3.405240067629862,124.4902673615222
0.89,3399603829.523995,124532687297.67961,3.3996038295239948,124.53268729767962
0.9,3387354584.636325,124638205163.64828,3.387354584636325,124.63820516364828
0.91,3382430479.151005,124685817126.52975,3.382430479151005,124.68581712652976
0.92,3340214851.4561896,125150633083.28717,3.3402148514561896,125.15063308328718
0.93,3334439862.841106,125232242510.73482,3.334439862841106,125.23224251073482
0.94,3326234351.9536495,125344228646.5934,3.3262343519536497,125.3442286465934
0.95,3324282391.73517,125335580990.43716,3.32428239173517,125.33558099043717
0.96,3310858177.0713086,125630373570.84178,3.310858177071309,125.63037357084178
0.97,3276734999.157425,126586741985.93805,3.276734999157425,126.58674198593805
0.98,3234424636.2213707,128322434219.75418,3.234424636221371,128.32243421975417
0.99,3208256304.0150933,130178652590.96342,3.2082563040150935,130.17865259096342
1.0,3166530570.1338367,142098685846.1247,3.166530570133837,142.09868584612468
