Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode,objective_mode
0.36,2793408616.120456,85080360327.83205,2.7934086161204563,85.08036032783204,Optimal,1,True,1788,741,profit,normalized
0.37,2792838517.1099987,85091855530.34486,2.7928385171099985,85.09185553034486,Optimal,1,True,1788,741,profit,normalized
0.38,2791939979.9899793,85111307672.78418,2.791939979989979,85.11130767278418,Optimal,1,True,1788,741,profit,normalized
0.39,2789332326.080071,85169898988.6743,2.789332326080071,85.1698989886743,Optimal,1,True,1788,741,profit,normalized
0.4,2786643598.2914658,85232185889.70766,2.786643598291466,85.23218588970765,Optimal,1,True,1788,741,profit,normalized
0.41,2782444268.330941,85334772584.91333,2.7824442683309414,85.33477258491332,Optimal,1,True,1788,741,profit,normalized
0.42,2781284828.241157,85363774560.65442,2.781284828241157,85.36377456065442,Optimal,1,True,1788,741,profit,normalized
0.43,2781284828.241157,85363774560.65442,2.781284828241157,85.36377456065442,Optimal,1,True,1788,741,profit,normalized
0.44,2781208118.0075126,85365859234.54927,2.7812081180075126,85.36585923454928,Optimal,1,True,1788,741,profit,normalized
0.45,2781208118.0075126,85365859234.54927,2.7812081180075126,85.36585923454928,Optimal,1,True,1788,741,profit,normalized
0.46,2779375852.2166247,85420442167.05434,2.7793758522166248,85.42044216705433,Optimal,1,True,1788,741,profit,normalized
0.47,2773130741.0205235,85615824701.0797,2.7731307410205237,85.6158247010797,Optimal,1,True,1788,741,profit,normalized
0.48,2772866153.3147283,85624347047.50883,2.772866153314728,85.62434704750883,Optimal,1,True,1788,741,profit,normalized
0.49,2772321058.676584,85642494760.28215,2.772321058676584,85.64249476028215,Optimal,1,True,1788,741,profit,normalized
0.5,2772137464.149767,85648928271.09235,2.772137464149767,85.64892827109234,Optimal,1,True,1788,741,profit,normalized
0.51,2769678872.608558,85739564780.34587,2.769678872608558,85.73956478034587,Optimal,1,True,1788,741,profit,normalized
0.52,2767094322.9098516,85839355832.15157,2.7670943229098515,85.83935583215157,Optimal,1,True,1788,741,profit,normalized
0.53,2740090849.772735,86905681318.03244,2.740090849772735,86.90568131803244,Optimal,1,True,1788,741,profit,normalized
0.54,2739563015.975038,86927815426.29169,2.739563015975038,86.92781542629169,Optimal,1,True,1788,741,profit,normalized
0.55,2731029895.0029693,87290895151.01054,2.7310298950029694,87.29089515101055,Optimal,1,True,1788,741,profit,normalized
0.56,2730659365.8809175,87307615869.94586,2.7306593658809177,87.30761586994586,Optimal,1,True,1788,741,profit,normalized
0.57,2729535058.722678,87359606530.17789,2.729535058722678,87.35960653017789,Optimal,1,True,1788,741,profit,normalized
0.58,2725297678.946194,87566736922.5333,2.7252976789461942,87.5667369225333,Optimal,1,True,1788,741,profit,normalized
0.59,2725296314.282957,87566806368.36119,2.725296314282957,87.56680636836118,Optimal,1,True,1788,741,profit,normalized
