Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,income_mode,objective_mode,nitrogen_pct_of_2017_baseline,water_pct_of_2017_baseline
0.17,4321989948.961362,185022024554.95956,4.321989948961362,185.02202455495956,Optimal,1,True,2459,776,profit,normalized,2950669501.2599664,83256884403.59636,2.9506695012599664,83.25688440359636,Optimal,1,True,1788,741,profit,normalized,7272659450.221329,268278908958.5559,7.272659450221329,268.2789089585559,True,Optimal|Optimal,profit,normalized,87.77748805917193,57.375296741724696
0.18,4320166499.620588,185048634930.6863,4.320166499620588,185.04863493068632,Optimal,1,True,2459,776,profit,normalized,2943986543.8829913,83307944374.89197,2.9439865438829913,83.30794437489197,Optimal,1,True,1788,741,profit,normalized,7264153043.50358,268356579305.57828,7.26415304350358,268.3565793055783,True,Optimal|Optimal,profit,normalized,87.67481983729185,57.3919076606588
0.19,4313894391.197826,185147310329.34262,4.3138943911978265,185.14731032934262,Optimal,1,True,2459,776,profit,normalized,2939220150.195016,83346961297.36111,2.9392201501950157,83.34696129736112,Optimal,1,True,1788,741,profit,normalized,7253114541.392842,268494271626.70374,7.253114541392843,268.4942716267037,True,Optimal|Optimal,profit,normalized,87.5415904466063,57.4213551405755
0.2,4311237984.09047,185191072385.4216,4.311237984090471,185.1910723854216,Optimal,1,True,2459,776,profit,normalized,2914832356.6480923,83556915440.02882,2.9148323566480925,83.55691544002882,Optimal,1,True,1788,741,profit,normalized,7226070340.738563,268747987825.45044,7.226070340738563,268.7479878254504,True,Optimal|Optimal,profit,normalized,87.21518000263472,57.475615992640925
0.21,4309004992.348107,185229425328.42056,4.3090049923481075,185.22942532842058,Optimal,1,True,2459,776,profit,normalized,2907648814.5164495,83622920198.62454,2.9076488145164494,83.62292019862454,Optimal,1,True,1788,741,profit,normalized,7216653806.864557,268852345527.0451,7.216653806864557,268.8523455270451,True,Optimal|Optimal,profit,normalized,87.10152698542117,57.497934385538535
0.22,4293295306.319763,185522923481.02164,4.293295306319763,185.52292348102165,Optimal,1,True,2459,776,profit,normalized,2907647921.7278614,83622928749.45793,2.9076479217278615,83.62292874945793,Optimal,1,True,1788,741,profit,normalized,7200943228.047625,269145852230.47955,7.200943228047625,269.14585223047953,True,Optimal|Optimal,profit,normalized,86.91190788474074,57.56070500836017
0.23,4284602673.2484446,185698100783.10526,4.284602673248444,185.69810078310525,Optimal,1,True,2459,776,profit,normalized,2882925306.963854,83879903005.89352,2.8829253069638536,83.87990300589352,Optimal,1,True,1788,741,profit,normalized,7167527980.212298,269578003788.99878,7.167527980212299,269.5780037889988,True,Optimal|Optimal,profit,normalized,86.50860197746768,57.653126824162584
0.24,4276981646.1936445,185857611494.2711,4.2769816461936445,185.85761149427108,Optimal,1,True,2459,776,profit,normalized,2828557845.001912,84485183719.40909,2.828557845001912,84.4851837194091,Optimal,1,True,1788,741,profit,normalized,7105539491.195557,270342795213.68018,7.1055394911955565,270.3427952136802,True,Optimal|Optimal,profit,normalized,85.76043084533697,57.81668845152628
0.25,4274616432.3547497,185909473603.0527,4.274616432354749,185.9094736030527,Optimal,1,True,2459,776,profit,normalized,2826093289.7063575,84513985395.61528,2.8260932897063573,84.51398539561528,Optimal,1,True,1788,741,profit,normalized,7100709722.061108,270423458998.66797,7.100709722061108,270.42345899866797,True,Optimal|Optimal,profit,normalized,85.7021378638727,57.833939560150334
0.26,4269284978.5431843,186033510969.4086,4.269284978543184,186.0335109694086,Optimal,1,True,2459,776,profit,normalized,2825713122.29579,84518758865.26892,2.8257131222957903,84.51875886526892,Optimal,1,True,1788,741,profit,normalized,7094998100.838974,270552269834.67752,7.094998100838974,270.55226983467753,True,Optimal|Optimal,profit,normalized,85.63320135350041,57.86148760695092
