id,district,dt_code,st_nm,st_code,year,state_key,district_key,map_state,map_district,nitrogen_surplus_kg,calorie_kcal,water_m3,nitrogen_surplus_ggn,calorie_bkcal,water_bcm
,Haridwar,068,Uttarakhand,05,2011_c,uttarakhand,haridwar,uttarakhand,haridwar,5946234.442865535,613754760010.9734,194958276.13493803,5.946234442865535,613.7547600109734,0.19495827613493802
,Pauri Garhwal,061,Uttarakhand,05,2011_c,uttarakhand,pauri garhwal,uttarakhand,pauri garhwal,3074148.131924012,207303309993.04517,249024182.7888481,3.0741481319240123,207.30330999304516,0.2490241827888481
,Kaithal,073,Haryana,06,2011_c,haryana,kaithal,haryana,kaithal,43197039.32700729,5007737999817.729,1439126932.4319823,43.197039327007296,5007.737999817728,1.4391269324319822
,Sirsa,079,Haryana,06,2011_c,haryana,sirsa,haryana,sirsa,40039980.58488506,5980865999930.58,1329720270.9135485,40.03998058488506,5980.86599993058,1.3297202709135485
,Hanumangarh,100,Rajasthan,08,2011_c,rajasthan,hanumangarh,rajasthan,hanumangarh,12144840.439694569,3891565219920.9966,733546952.7587087,12.144840439694569,3891.5652199209967,0.7335469527587087
,Karnal,074,Haryana,06,2011_c,haryana,karnal,haryana,karnal,32920665.17076005,5146404000178.0,1499242594.6407652,32.92066517076005,5146.404000178,1.4992425946407653
,Almora,064,Uttarakhand,05,2011_c,uttarakhand,almora,uttarakhand,almora,5708786.191387876,290490399976.72925,513073933.9604037,5.708786191387876,290.49039997672924,0.5130739339604037
,Jind,077,Haryana,06,2011_c,haryana,jind,haryana,jind,34459167.35087465,4933123999939.248,1693514206.769556,34.45916735087465,4933.123999939248,1.693514206769556
,Fatehabad,078,Haryana,06,2011_c,haryana,fatehabad,haryana,fatehabad,24130889.351877242,5106539999950.225,1040801394.3507841,24.130889351877244,5106.539999950224,1.0408013943507841
,Bijnor,134,Uttar Pradesh,09,2011_c,uttar pradesh,bijnor,uttar pradesh,bijnor,12433063.502287067,2288439080087.202,456192498.0119505,12.433063502287068,2288.439080087202,0.4561924980119505
,Muzaffarnagar,133,Uttar Pradesh,09,2011_c,uttar pradesh,muzaffarnagar,uttar pradesh,muzaffarnagar,6984187.479119332,1215849720011.8208,158230017.40857598,6.984187479119331,1215.8497200118209,0.15823001740857598
,Hisar,080,Haryana,06,2011_c,haryana,hisar,haryana,hisar,22700524.259666678,4419268000057.28,1216685278.880209,22.70052425966668,4419.26800005728,1.216685278880209
,Nainital,066,Uttarakhand,05,2011_c,uttarakhand,nainital,uttarakhand,nainital,2997642.760763548,370828389986.14166,133898899.64624718,2.9976427607635476,370.82838998614164,0.13389889964624718
,Panipat,075,Haryana,06,2011_c,haryana,panipat,haryana,panipat,15068345.722191138,2248318000095.408,788248908.2065547,15.068345722191138,2248.318000095408,0.7882489082065547
,Champawat,065,Uttarakhand,05,2011_c,uttarakhand,champawat,uttarakhand,champawat,1270924.1867337278,107221139993.70004,87151459.89720264,1.2709241867337278,107.22113999370005,0.08715145989720265
,Udham Singh Nagar,067,Uttarakhand,05,2011_c,uttarakhand,udham singh nagar,uttarakhand,udham singh nagar,18006366.037265066,2976237199986.591,760945140.3880916,18.006366037265067,2976.237199986591,0.7609451403880916
,Sonipat,076,Haryana,06,2011_c,haryana,sonipat,haryana,sonipat,42856457.35061038,3369014000089.1816,1365761148.6038523,42.856457350610384,3369.0140000891815,1.3657611486038523
,Baghpat,139,Uttar Pradesh,09,2011_c,uttar pradesh,baghpat,uttar pradesh,baghpat,4333862.235604893,863270439994.4003,77953903.5918842,4.333862235604894,863.2704399944002,0.0779539035918842
,Meerut,138,Uttar Pradesh,09,2011_c,uttar pradesh,meerut,uttar pradesh,meerut,5896879.678557773,1217045159981.848,140915945.29925507,5.896879678557773,1217.045159981848,0.14091594529925508
,Moradabad,135,Uttar Pradesh,09,2011_c,uttar pradesh,moradabad,uttar pradesh,moradabad,22512609.913554534,2263452859946.882,697473869.0852611,22.512609913554535,2263.4528599468817,0.6974738690852611
,Bikaner,101,Rajasthan,08,2011_c,rajasthan,bikaner,rajasthan,bikaner,6802693.354842449,1087231699980.0653,901284478.5126169,6.802693354842448,1087.2316999800653,0.9012844785126168
,Rampur,136,Uttar Pradesh,09,2011_c,uttar pradesh,rampur,uttar pradesh,rampur,26126681.658980798,3109599219918.663,956009122.3814285,26.126681658980797,3109.599219918663,0.9560091223814284
,Bhiwani,081,Haryana,06,2011_c,haryana,bhiwani,haryana,bhiwani,39714648.87079892,3986307999833.676,1268909839.6876638,39.714648870798925,3986.3079998336757,1.2689098396876637
,Rohtak,082,Haryana,06,2011_c,haryana,rohtak,haryana,rohtak,16273408.363261778,2118429999935.1162,758056026.0754783,16.27340836326178,2118.429999935116,0.7580560260754783
,Shamli,704,Uttar Pradesh,09,update2014,uttar pradesh,shamli,uttar pradesh,shamli,2314491.008766104,949953940029.954,136240338.53621536,2.314491008766104,949.953940029954,0.13624033853621537
,Firozpur,043,Punjab,03,2011_c,punjab,firozpur,punjab,firozpur,38174740.93395017,6143459999768.601,1585941947.6254249,38.17474093395017,6143.459999768601,1.5859419476254248
,Pathankot,773,Punjab,03,2011_c,punjab,pathankot,punjab,pathankot,9920503.205391897,902439999957.28,423953332.4917576,9.920503205391897,902.4399999572801,0.4239533324917576
,Udhampur,019,Jammu and Kashmir,01,2011_c,jammu and kashmir,udhampur,jammu and kashmir,udhampur,8114084.056107722,554211639489.0632,239552580.68145153,8.114084056107723,554.2116394890633,0.23955258068145152
,Samba,022,Jammu and Kashmir,01,2011_c,jammu and kashmir,samba,jammu and kashmir,samba,5388866.893699318,359199574920.3983,213154789.94682863,5.388866893699318,359.19957492039833,0.21315478994682863
,Kapurthala,036,Punjab,03,2011_c,punjab,kapurthala,punjab,kapurthala,22152848.689369436,3547959999950.1597,1048382543.3884628,22.152848689369435,3547.9599999501597,1.0483825433884628
,Panchkula,069,Haryana,06,2011_c,haryana,panchkula,haryana,panchkula,3287679.0477478867,409363999986.86804,141358969.93329525,3.2876790477478868,409.36399998686807,0.14135896993329525
,Ambala,070,Haryana,06,2011_c,haryana,ambala,haryana,ambala,18995885.452274844,2485435999982.2,732955105.2847929,18.995885452274845,2485.4359999822,0.7329551052847929
,Aurangabad,235,Bihar,10,2011_c,bihar,aurangabad,bihar,aurangabad,14745049.282239817,2847688050057.799,742622055.0364295,14.745049282239817,2847.688050057799,0.7426220550364295
,Balrampur,716,Chhattisgarh,22,2011_c,chhattisgarh,balrampur,chhattisgarh,balrampur,9732317.176307434,718433140116.976,461171887.44163007,9.732317176307435,718.433140116976,0.46117188744163007
,Balrampur,182,Uttar Pradesh,09,2011_c,uttar pradesh,balrampur,uttar pradesh,balrampur,18652339.239939213,1919217999890.7725,688615522.1567967,18.652339239939213,1919.2179998907725,0.6886155221567967
,Hamirpur,168,Uttar Pradesh,09,2011_c,uttar pradesh,hamirpur,uttar pradesh,hamirpur,10595198.23245224,1193868420000.6816,216358838.1148581,10.59519823245224,1193.8684200006817,0.2163588381148581
,Hamirpur,028,Himachal Pradesh,02,2011_c,himachal pradesh,hamirpur,himachal pradesh,hamirpur,4077088.982313816,388097539966.8017,159012588.07339132,4.077088982313816,388.0975399668017,0.15901258807339133
,Pratapgarh,131,Rajasthan,08,2011_c,rajasthan,pratapgarh,rajasthan,pratapgarh,3676076.639932581,990667759987.9045,311769885.32813597,3.6760766399325813,990.6677599879046,0.311769885328136
,Pratapgarh,173,Uttar Pradesh,09,2011_c,uttar pradesh,pratapgarh,uttar pradesh,pratapgarh,24483773.498059012,2362720180105.484,796070393.5071734,24.483773498059012,2362.720180105484,0.7960703935071735
,Bilaspur,030,Himachal Pradesh,02,2011_c,himachal pradesh,bilaspur,himachal pradesh,bilaspur,3205925.349603949,368729640030.63806,105146052.06337272,3.205925349603949,368.72964003063805,0.10514605206337271
,Niwari,782,Madhya Pradesh,23,2018,madhya pradesh,niwari,,,,,,,,
,Muzaffarabad,992,Jammu and Kashmir,01,2011_c,jammu and kashmir,muzaffarabad,,,,,,,,
,Mirpur,991,Jammu and Kashmir,01,2011_c,jammu and kashmir,mirpur,,,,,,,,
