State,District,state_key,district_key,map_state,map_district,matched
bihar,khagaria,bihar,khagaria,bihar,khagaria,True
bihar,kishanganj,bihar,kishanganj,bihar,kishanganj,True
bihar,lakhisarai,bihar,lakhisarai,bihar,lakhisarai,True
bihar,madhepura,bihar,madhepura,bihar,madhepura,True
bihar,madhubani,bihar,madhubani,bihar,madhubani,True
bihar,munger,bihar,munger,bihar,munger,True
bihar,muzaffarpur,bihar,muzaffarpur,bihar,muzaffarpur,True
bihar,nalanda,bihar,nalanda,bihar,nalanda,True
bihar,nawada,bihar,nawada,bihar,nawada,True
bihar,pashchim champaran,bihar,pashchim champaran,bihar,west champaran,True
bihar,patna,bihar,patna,bihar,patna,True
bihar,purbi champaran,bihar,purbi champaran,bihar,east champaran,True
bihar,purnia,bihar,purnia,bihar,purnia,True
bihar,rohtas,bihar,rohtas,bihar,rohtas,True
bihar,saharsa,bihar,saharsa,bihar,saharsa,True
bihar,samastipur,bihar,samastipur,bihar,samastipur,True
bihar,saran,bihar,saran,bihar,saran,True
bihar,sheikhpura,bihar,sheikhpura,bihar,sheikhpura,True
bihar,sheohar,bihar,sheohar,bihar,sheohar,True
bihar,sitamarhi,bihar,sitamarhi,bihar,sitamarhi,True
bihar,siwan,bihar,siwan,bihar,siwan,True
bihar,supaul,bihar,supaul,bihar,supaul,True
bihar,vaishali,bihar,vaishali,bihar,vaishali,True
chandigarh,chandigarh,chandigarh,chandigarh,chandigarh,chandigarh,True
chhattisgarh,balod,chhattisgarh,balod,chhattisgarh,balod,True
chhattisgarh,baloda bazar,chhattisgarh,baloda bazar,chhattisgarh,baloda bazar,True
chhattisgarh,balrampur,chhattisgarh,balrampur,chhattisgarh,balrampur,True
chhattisgarh,bastar,chhattisgarh,bastar,chhattisgarh,bastar,True
chhattisgarh,bemetara,chhattisgarh,bemetara,chhattisgarh,bametara,True
chhattisgarh,bijapur,chhattisgarh,bijapur,chhattisgarh,bijapur,True
chhattisgarh,bilaspur,chhattisgarh,bilaspur,chhattisgarh,bilaspur,True
chhattisgarh,dantewada,chhattisgarh,dantewada,chhattisgarh,dakshin bastar dantewada,True
chhattisgarh,dhamtari,chhattisgarh,dhamtari,chhattisgarh,dhamtari,True
chhattisgarh,durg,chhattisgarh,durg,chhattisgarh,durg,True
chhattisgarh,gariaband,chhattisgarh,gariaband,chhattisgarh,gariaband,True
chhattisgarh,gariyaband,chhattisgarh,gariyaband,chhattisgarh,gariaband,True
chhattisgarh,janjgir-champa,chhattisgarh,janjgir champa,chhattisgarh,janjgir champa,True
chhattisgarh,janjgirchampa,chhattisgarh,janjgirchampa,chhattisgarh,janjgir champa,True
chhattisgarh,jashpur,chhattisgarh,jashpur,chhattisgarh,jashpur,True
chhattisgarh,kabirdham,chhattisgarh,kabirdham,chhattisgarh,kabeerdham,True
chhattisgarh,kanker,chhattisgarh,kanker,chhattisgarh,uttar bastar kanker,True
chhattisgarh,kondagaon,chhattisgarh,kondagaon,chhattisgarh,kondagaon,True
chhattisgarh,korba,chhattisgarh,korba,chhattisgarh,korba,True
chhattisgarh,korea,chhattisgarh,korea,chhattisgarh,koriya,True
chhattisgarh,mahasamund,chhattisgarh,mahasamund,chhattisgarh,mahasamund,True
chhattisgarh,mungeli,chhattisgarh,mungeli,chhattisgarh,mungeli,True
chhattisgarh,narayanpur,chhattisgarh,narayanpur,chhattisgarh,narayanpur,True
chhattisgarh,raigarh,chhattisgarh,raigarh,chhattisgarh,raigarh,True
chhattisgarh,raipur,chhattisgarh,raipur,chhattisgarh,raipur,True
chhattisgarh,rajnandgaon,chhattisgarh,rajnandgaon,chhattisgarh,rajnandgaon,True
chhattisgarh,sukma,chhattisgarh,sukma,chhattisgarh,sukma,True
chhattisgarh,surajpur,chhattisgarh,surajpur,chhattisgarh,surajpur,True
chhattisgarh,surguja,chhattisgarh,surguja,chhattisgarh,surguja,True
chhattisgarh,uttar bastar kanker,chhattisgarh,uttar bastar kanker,chhattisgarh,uttar bastar kanker,True
dadra and nagar haveli,dadra and nagar haveli,dadra and nagar haveli,dadra and nagar haveli,dadra and nagar haveli,dadra and nagar haveli,True
gujarat,ahmadabad,gujarat,ahmadabad,gujarat,ahmadabad,True
gujarat,amreli,gujarat,amreli,gujarat,amreli,True
gujarat,anand,gujarat,anand,gujarat,anand,True
gujarat,aravalli,gujarat,aravalli,gujarat,aravalli,True
gujarat,arvalli,gujarat,arvalli,gujarat,aravalli,True
gujarat,banas kantha,gujarat,banas kantha,gujarat,banas kantha,True
gujarat,bharuch,gujarat,bharuch,gujarat,bharuch,True
gujarat,bhavnagar,gujarat,bhavnagar,gujarat,bhavnagar,True
gujarat,botad,gujarat,botad,gujarat,botad,True
gujarat,chhotaudepur,gujarat,chhotaudepur,gujarat,chota udaipur,True
gujarat,dang,gujarat,dang,gujarat,dangs,True
gujarat,devbhumi dwarka,gujarat,devbhumi dwarka,gujarat,devbhumi dwarka,True
gujarat,dohad,gujarat,dohad,gujarat,dohad,True
gujarat,gandhinagar,gujarat,gandhinagar,gujarat,gandhinagar,True
gujarat,gir somnath,gujarat,gir somnath,gujarat,gir somnath,True
gujarat,jamnagar,gujarat,jamnagar,gujarat,jamnagar,True
gujarat,junagadh,gujarat,junagadh,gujarat,junagadh,True
gujarat,kachchh,gujarat,kachchh,gujarat,kachchh,True
gujarat,kheda,gujarat,kheda,gujarat,kheda,True
gujarat,mahesana,gujarat,mahesana,gujarat,mahesana,True
gujarat,mahisagar,gujarat,mahisagar,gujarat,mahisagar,True
gujarat,morbi,gujarat,morbi,gujarat,morbi,True
gujarat,narmada,gujarat,narmada,gujarat,narmada,True
gujarat,navsari,gujarat,navsari,gujarat,navsari,True
gujarat,panch mahals,gujarat,panch mahals,gujarat,panch mahals,True
gujarat,patan,gujarat,patan,gujarat,patan,True
gujarat,porbandar,gujarat,porbandar,gujarat,porbandar,True
gujarat,rajkot,gujarat,rajkot,gujarat,rajkot,True
gujarat,sabar kantha,gujarat,sabar kantha,gujarat,sabar kantha,True
gujarat,surat,gujarat,surat,gujarat,surat,True
gujarat,surendranagar,gujarat,surendranagar,gujarat,surendranagar,True
gujarat,tapi,gujarat,tapi,gujarat,tapi,True
gujarat,vadodara,gujarat,vadodara,gujarat,vadodara,True
gujarat,valsad,gujarat,valsad,gujarat,valsad,True
haryana,ambala,haryana,ambala,haryana,ambala,True
haryana,bhiwani,haryana,bhiwani,haryana,bhiwani,True
haryana,charki dadri,haryana,charki dadri,haryana,charki dadri,True
haryana,faridabad,haryana,faridabad,haryana,faridabad,True
haryana,fatehabad,haryana,fatehabad,haryana,fatehabad,True
haryana,gurgaon,haryana,gurgaon,haryana,gurugram,True
haryana,hisar,haryana,hisar,haryana,hisar,True
haryana,jhajjar,haryana,jhajjar,haryana,jhajjar,True
haryana,jind,haryana,jind,haryana,jind,True
haryana,kaithal,haryana,kaithal,haryana,kaithal,True
haryana,karnal,haryana,karnal,haryana,karnal,True
haryana,kurukshetra,haryana,kurukshetra,haryana,kurukshetra,True
haryana,mahendragarh,haryana,mahendragarh,haryana,mahendragarh,True
haryana,mewat,haryana,mewat,haryana,nuh,True
haryana,palwal,haryana,palwal,haryana,palwal,True
haryana,panchkula,haryana,panchkula,haryana,panchkula,True
haryana,panipat,haryana,panipat,haryana,panipat,True
haryana,rewari,haryana,rewari,haryana,rewari,True
haryana,rohtak,haryana,rohtak,haryana,rohtak,True
haryana,sirsa,haryana,sirsa,haryana,sirsa,True
haryana,sonipat,haryana,sonipat,haryana,sonipat,True
haryana,yamunanagar,haryana,yamunanagar,haryana,yamunanagar,True
himachal pradesh,bilaspur,himachal pradesh,bilaspur,himachal pradesh,bilaspur,True
himachal pradesh,chamba,himachal pradesh,chamba,himachal pradesh,chamba,True
himachal pradesh,hamirpur,himachal pradesh,hamirpur,himachal pradesh,hamirpur,True
himachal pradesh,kangra,himachal pradesh,kangra,himachal pradesh,kangra,True
himachal pradesh,kinnaur,himachal pradesh,kinnaur,himachal pradesh,kinnaur,True
himachal pradesh,kullu,himachal pradesh,kullu,himachal pradesh,kullu,True
himachal pradesh,lahul and spiti,himachal pradesh,lahul and spiti,himachal pradesh,lahul and spiti,True
himachal pradesh,mandi,himachal pradesh,mandi,himachal pradesh,mandi,True
himachal pradesh,shimla,himachal pradesh,shimla,himachal pradesh,shimla,True
himachal pradesh,sirmaur,himachal pradesh,sirmaur,himachal pradesh,sirmaur,True
himachal pradesh,solan,himachal pradesh,solan,himachal pradesh,solan,True
himachal pradesh,una,himachal pradesh,una,himachal pradesh,una,True
jammu and kashmir,anantnag,jammu and kashmir,anantnag,jammu and kashmir,anantnag,True
jammu and kashmir,badgam,jammu and kashmir,badgam,jammu and kashmir,badgam,True
jammu and kashmir,bandipora,jammu and kashmir,bandipora,jammu and kashmir,bandipore,True
jammu and kashmir,baramulla,jammu and kashmir,baramulla,jammu and kashmir,baramula,True
jammu and kashmir,doda,jammu and kashmir,doda,jammu and kashmir,doda,True
jammu and kashmir,ganderbal,jammu and kashmir,ganderbal,jammu and kashmir,ganderbal,True
jammu and kashmir,jammu,jammu and kashmir,jammu,jammu and kashmir,jammu,True
jammu and kashmir,kargil,jammu and kashmir,kargil,ladakh,kargil,True
jammu and kashmir,kathua,jammu and kashmir,kathua,jammu and kashmir,kathua,True
jammu and kashmir,kishtwar,jammu and kashmir,kishtwar,jammu and kashmir,kishtwar,True
jammu and kashmir,kulgam,jammu and kashmir,kulgam,jammu and kashmir,kulgam,True
jammu and kashmir,kupwara,jammu and kashmir,kupwara,jammu and kashmir,kupwara,True
jammu and kashmir,leh ladakh,jammu and kashmir,leh ladakh,ladakh,leh,True
jammu and kashmir,poonch,jammu and kashmir,poonch,jammu and kashmir,punch,True
jammu and kashmir,pulwama,jammu and kashmir,pulwama,jammu and kashmir,pulwama,True
jammu and kashmir,rajauri,jammu and kashmir,rajauri,jammu and kashmir,rajouri,True
jammu and kashmir,ramban,jammu and kashmir,ramban,jammu and kashmir,ramban,True
jammu and kashmir,reasi,jammu and kashmir,reasi,jammu and kashmir,reasi,True
jammu and kashmir,samba,jammu and kashmir,samba,jammu and kashmir,samba,True
jammu and kashmir,shopian,jammu and kashmir,shopian,jammu and kashmir,shupiyan,True
jammu and kashmir,srinagar,jammu and kashmir,srinagar,jammu and kashmir,srinagar,True
jammu and kashmir,udhampur,jammu and kashmir,udhampur,jammu and kashmir,udhampur,True
jharkhand,bokaro,jharkhand,bokaro,jharkhand,bokaro,True
jharkhand,chatra,jharkhand,chatra,jharkhand,chatra,True
jharkhand,deoghar,jharkhand,deoghar,jharkhand,deoghar,True
jharkhand,dhanbad,jharkhand,dhanbad,jharkhand,dhanbad,True
jharkhand,dumka,jharkhand,dumka,jharkhand,dumka,True
jharkhand,east singhbum,jharkhand,east singhbum,jharkhand,purbi singhbhum,True
jharkhand,garhwa,jharkhand,garhwa,jharkhand,garhwa,True
jharkhand,giridih,jharkhand,giridih,jharkhand,giridih,True
jharkhand,godda,jharkhand,godda,jharkhand,godda,True
jharkhand,gumla,jharkhand,gumla,jharkhand,gumla,True
jharkhand,hazaribagh,jharkhand,hazaribagh,jharkhand,hazaribagh,True
jharkhand,jamtara,jharkhand,jamtara,jharkhand,jamtara,True
jharkhand,khunti,jharkhand,khunti,jharkhand,khunti,True
jharkhand,koderma,jharkhand,koderma,jharkhand,kodarma,True
jharkhand,latehar,jharkhand,latehar,jharkhand,latehar,True
jharkhand,lohardaga,jharkhand,lohardaga,jharkhand,lohardaga,True
jharkhand,pakur,jharkhand,pakur,jharkhand,pakur,True
jharkhand,palamu,jharkhand,palamu,jharkhand,palamu,True
jharkhand,ramgarh,jharkhand,ramgarh,jharkhand,ramgarh,True
jharkhand,ranchi,jharkhand,ranchi,jharkhand,ranchi,True
jharkhand,sahebganj,jharkhand,sahebganj,jharkhand,sahibganj,True
jharkhand,sahibganj,jharkhand,sahibganj,jharkhand,sahibganj,True
jharkhand,saraikela kharsawan,jharkhand,saraikela kharsawan,jharkhand,saraikela kharsawan,True
jharkhand,saraikelakharsawan,jharkhand,saraikelakharsawan,jharkhand,saraikela kharsawan,True
jharkhand,simdega,jharkhand,simdega,jharkhand,simdega,True
jharkhand,west singhbhum,jharkhand,west singhbhum,jharkhand,pashchimi singhbhum,True
karnataka,bagalkot,karnataka,bagalkot,karnataka,bagalkote,True
karnataka,bagalkote,karnataka,bagalkote,karnataka,bagalkote,True
karnataka,ballari,karnataka,ballari,karnataka,ballari,True
karnataka,bangalore rural,karnataka,bangalore rural,karnataka,bengaluru rural,True
karnataka,belagavi,karnataka,belagavi,karnataka,belagavi,True
karnataka,bengaluru urban,karnataka,bengaluru urban,karnataka,bengaluru,True
karnataka,bidar,karnataka,bidar,karnataka,bidar,True
karnataka,chamarajanagara,karnataka,chamarajanagara,karnataka,chamarajanagara,True
karnataka,chamrajnagar,karnataka,chamrajnagar,karnataka,chamarajanagara,True
karnataka,chikballapura,karnataka,chikballapura,karnataka,chikkaballapura,True
karnataka,chikkaballapura,karnataka,chikkaballapura,karnataka,chikkaballapura,True
karnataka,chikkamagaluru,karnataka,chikkamagaluru,karnataka,chikkamagaluru,True
karnataka,chikmagalur,karnataka,chikmagalur,karnataka,chikkamagaluru,True
karnataka,chitradurga,karnataka,chitradurga,karnataka,chitradurga,True
karnataka,dakshina kannada,karnataka,dakshina kannada,karnataka,dakshina kannada,True
karnataka,davanagere,karnataka,davanagere,karnataka,davanagere,True
karnataka,davangere,karnataka,davangere,karnataka,davanagere,True
karnataka,dharwad,karnataka,dharwad,karnataka,dharwad,True
karnataka,gadag,karnataka,gadag,karnataka,gadag,True
karnataka,hassan,karnataka,hassan,karnataka,hassan,True
karnataka,haveri,karnataka,haveri,karnataka,haveri,True
karnataka,kalaburagi,karnataka,kalaburagi,karnataka,kalaburagi,True
karnataka,kodagu,karnataka,kodagu,karnataka,kodagu,True
karnataka,kolar,karnataka,kolar,karnataka,kolar,True
karnataka,koppal,karnataka,koppal,karnataka,koppal,True
karnataka,mandya,karnataka,mandya,karnataka,mandya,True
karnataka,mysuru,karnataka,mysuru,karnataka,mysuru,True
karnataka,raichur,karnataka,raichur,karnataka,raichur,True
karnataka,ramanagara,karnataka,ramanagara,karnataka,ramanagara,True
karnataka,shivamogga,karnataka,shivamogga,karnataka,shivamogga,True
karnataka,tumakuru,karnataka,tumakuru,karnataka,tumakuru,True
karnataka,tumkur,karnataka,tumkur,karnataka,tumakuru,True
karnataka,udupi,karnataka,udupi,karnataka,udupi,True
karnataka,uttara kannada,karnataka,uttara kannada,karnataka,uttara kannada,True
karnataka,vijayapura,karnataka,vijayapura,karnataka,vijayapura,True
karnataka,yadagiri,karnataka,yadagiri,karnataka,yadgir,True
karnataka,yadgir,karnataka,yadgir,karnataka,yadgir,True
kerala,alappuzha,kerala,alappuzha,kerala,alappuzha,True
kerala,ernakulam,kerala,ernakulam,kerala,ernakulam,True
kerala,idukki,kerala,idukki,kerala,idukki,True
kerala,kannur,kerala,kannur,kerala,kannur,True
kerala,kasaragod,kerala,kasaragod,kerala,kasaragod,True
kerala,kollam,kerala,kollam,kerala,kollam,True
kerala,kottayam,kerala,kottayam,kerala,kottayam,True
kerala,kozhikode,kerala,kozhikode,kerala,kozhikode,True
kerala,malappuram,kerala,malappuram,kerala,malappuram,True
kerala,palakkad,kerala,palakkad,kerala,palakkad,True
kerala,pathanamthitta,kerala,pathanamthitta,kerala,pathanamthitta,True
kerala,thiruvananthapuram,kerala,thiruvananthapuram,kerala,thiruvananthapuram,True
kerala,thrissur,kerala,thrissur,kerala,thrissur,True
kerala,wayanad,kerala,wayanad,kerala,wayanad,True
madhya pradesh,agar malwa,madhya pradesh,agar malwa,madhya pradesh,agar malwa,True
madhya pradesh,alirajpur,madhya pradesh,alirajpur,madhya pradesh,alirajpur,True
madhya pradesh,anuppur,madhya pradesh,anuppur,madhya pradesh,anuppur,True
madhya pradesh,ashoknagar,madhya pradesh,ashoknagar,madhya pradesh,ashoknagar,True
madhya pradesh,balaghat,madhya pradesh,balaghat,madhya pradesh,balaghat,True
madhya pradesh,barwani,madhya pradesh,barwani,madhya pradesh,barwani,True
madhya pradesh,betul,madhya pradesh,betul,madhya pradesh,betul,True
madhya pradesh,bhind,madhya pradesh,bhind,madhya pradesh,bhind,True
madhya pradesh,bhopal,madhya pradesh,bhopal,madhya pradesh,bhopal,True
madhya pradesh,burhanpur,madhya pradesh,burhanpur,madhya pradesh,burhanpur,True
madhya pradesh,chhatarpur,madhya pradesh,chhatarpur,madhya pradesh,chhatarpur,True
madhya pradesh,chhindwara,madhya pradesh,chhindwara,madhya pradesh,chhindwara,True
madhya pradesh,damoh,madhya pradesh,damoh,madhya pradesh,damoh,True
madhya pradesh,datia,madhya pradesh,datia,madhya pradesh,datia,True
madhya pradesh,dewas,madhya pradesh,dewas,madhya pradesh,dewas,True
madhya pradesh,dhar,madhya pradesh,dhar,madhya pradesh,dhar,True
madhya pradesh,dindori,madhya pradesh,dindori,madhya pradesh,dindori,True
madhya pradesh,guna,madhya pradesh,guna,madhya pradesh,guna,True
madhya pradesh,gwalior,madhya pradesh,gwalior,madhya pradesh,gwalior,True
madhya pradesh,harda,madhya pradesh,harda,madhya pradesh,harda,True
madhya pradesh,hoshangabad,madhya pradesh,hoshangabad,madhya pradesh,hoshangabad,True
madhya pradesh,indore,madhya pradesh,indore,madhya pradesh,indore,True
madhya pradesh,jabalpur,madhya pradesh,jabalpur,madhya pradesh,jabalpur,True
madhya pradesh,jhabua,madhya pradesh,jhabua,madhya pradesh,jhabua,True
madhya pradesh,katni,madhya pradesh,katni,madhya pradesh,katni,True
madhya pradesh,khandwa,madhya pradesh,khandwa,madhya pradesh,east nimar,True
madhya pradesh,khargone,madhya pradesh,khargone,madhya pradesh,west nimar,True
madhya pradesh,mandla,madhya pradesh,mandla,madhya pradesh,mandla,True
madhya pradesh,mandsaur,madhya pradesh,mandsaur,madhya pradesh,mandsaur,True
madhya pradesh,morena,madhya pradesh,morena,madhya pradesh,morena,True
madhya pradesh,narsinghpur,madhya pradesh,narsinghpur,madhya pradesh,narsimhapur,True
madhya pradesh,neemuch,madhya pradesh,neemuch,madhya pradesh,neemuch,True
madhya pradesh,panna,madhya pradesh,panna,madhya pradesh,panna,True
madhya pradesh,raisen,madhya pradesh,raisen,madhya pradesh,raisen,True
madhya pradesh,rajgarh,madhya pradesh,rajgarh,madhya pradesh,rajgarh,True
madhya pradesh,ratlam,madhya pradesh,ratlam,madhya pradesh,ratlam,True
madhya pradesh,rewa,madhya pradesh,rewa,madhya pradesh,rewa,True
madhya pradesh,sagar,madhya pradesh,sagar,madhya pradesh,sagar,True
madhya pradesh,satna,madhya pradesh,satna,madhya pradesh,satna,True
madhya pradesh,sehore,madhya pradesh,sehore,madhya pradesh,sehore,True
madhya pradesh,seoni,madhya pradesh,seoni,madhya pradesh,seoni,True
madhya pradesh,shahdol,madhya pradesh,shahdol,madhya pradesh,shahdol,True
madhya pradesh,shajapur,madhya pradesh,shajapur,madhya pradesh,shajapur,True
madhya pradesh,sheopur,madhya pradesh,sheopur,madhya pradesh,sheopur,True
madhya pradesh,shivpuri,madhya pradesh,shivpuri,madhya pradesh,shivpuri,True
madhya pradesh,sidhi,madhya pradesh,sidhi,madhya pradesh,sidhi,True
madhya pradesh,singrauli,madhya pradesh,singrauli,madhya pradesh,singrauli,True
madhya pradesh,tikamgarh,madhya pradesh,tikamgarh,madhya pradesh,tikamgarh,True
madhya pradesh,ujjain,madhya pradesh,ujjain,madhya pradesh,ujjain,True
madhya pradesh,umaria,madhya pradesh,umaria,madhya pradesh,umaria,True
madhya pradesh,vidisha,madhya pradesh,vidisha,madhya pradesh,vidisha,True
maharashtra,ahmadnagar,maharashtra,ahmadnagar,maharashtra,ahmadnagar,True
maharashtra,ahmednagar,maharashtra,ahmednagar,maharashtra,ahmadnagar,True
maharashtra,akola,maharashtra,akola,maharashtra,akola,True
maharashtra,amravati,maharashtra,amravati,maharashtra,amravati,True
maharashtra,aurangabad,maharashtra,aurangabad,maharashtra,aurangabad,True
maharashtra,beed,maharashtra,beed,maharashtra,bid,True
maharashtra,bhandara,maharashtra,bhandara,maharashtra,bhandara,True
maharashtra,buldana,maharashtra,buldana,maharashtra,buldana,True
maharashtra,buldhana,maharashtra,buldhana,maharashtra,buldana,True
maharashtra,chandrapur,maharashtra,chandrapur,maharashtra,chandrapur,True
maharashtra,dhule,maharashtra,dhule,maharashtra,dhule,True
maharashtra,gadchiroli,maharashtra,gadchiroli,maharashtra,gadchiroli,True
maharashtra,gondia,maharashtra,gondia,maharashtra,gondiya,True
maharashtra,hingoli,maharashtra,hingoli,maharashtra,hingoli,True
maharashtra,jalgaon,maharashtra,jalgaon,maharashtra,jalgaon,True
maharashtra,jalna,maharashtra,jalna,maharashtra,jalna,True
maharashtra,kolhapur,maharashtra,kolhapur,maharashtra,kolhapur,True
maharashtra,latur,maharashtra,latur,maharashtra,latur,True
maharashtra,nagpur,maharashtra,nagpur,maharashtra,nagpur,True
maharashtra,nanded,maharashtra,nanded,maharashtra,nanded,True
maharashtra,nandurbar,maharashtra,nandurbar,maharashtra,nandurbar,True
maharashtra,nashik,maharashtra,nashik,maharashtra,nashik,True
maharashtra,osmanabad,maharashtra,osmanabad,maharashtra,osmanabad,True
maharashtra,palghar,maharashtra,palghar,maharashtra,palghar,True
maharashtra,parbhani,maharashtra,parbhani,maharashtra,parbhani,True
maharashtra,pune,maharashtra,pune,maharashtra,pune,True
maharashtra,raigad,maharashtra,raigad,maharashtra,raigarh,True
maharashtra,ratnagiri,maharashtra,ratnagiri,maharashtra,ratnagiri,True
maharashtra,sangli,maharashtra,sangli,maharashtra,sangli,True
maharashtra,satara,maharashtra,satara,maharashtra,satara,True
maharashtra,sindhudurg,maharashtra,sindhudurg,maharashtra,sindhudurg,True
maharashtra,solapur,maharashtra,solapur,maharashtra,solapur,True
maharashtra,thane,maharashtra,thane,maharashtra,thane,True
