scenario,state,metric,baseline_total,optimized_total,pct_reduction,display_pct_change
Water based,andaman and nicobar,Greenhouse Gas emission,43905.62930020327,43905.62930020327,0.0,-0.0
Water based,andhra pradesh,Greenhouse Gas emission,18549297.360916704,3022409.3856128566,83.70607076480934,-83.70607076480934
Water based,arunachal pradesh,Greenhouse Gas emission,1132306.8831005269,418842.77554585296,63.00978278971851,-63.00978278971851
Water based,assam,Greenhouse Gas emission,20031334.57408335,16134000.538626377,19.45618760968311,-19.45618760968311
Water based,bihar,Greenhouse Gas emission,29379546.177207597,7568283.245787306,74.23961827001018,-74.23961827001018
Water based,chandigarh,Greenhouse Gas emission,480.615323326,480.61532318527395,2.9280393597948653e-08,-2.9280393597948653e-08
Water based,chhattisgarh,Greenhouse Gas emission,32845408.92856572,7346740.356628061,77.63236751715827,-77.63236751715827
Water based,dadra and nagar haveli,Greenhouse Gas emission,117129.0382537,113558.20199648915,3.0486344893197703,-3.0486344893197703
Water based,gujarat,Greenhouse Gas emission,8208378.837459667,3830441.2542005572,53.33498453165931,-53.33498453165931
Water based,haryana,Greenhouse Gas emission,13676991.379258294,10173380.32578244,25.616825779310062,-25.616825779310062
Water based,himachal pradesh,Greenhouse Gas emission,1088379.889671376,760611.5100903538,30.115255040222046,-30.115255040222046
Water based,jammu and kashmir,Greenhouse Gas emission,2736947.7963893833,1999322.7935412924,26.950642018864052,-26.950642018864052
Water based,jharkhand,Greenhouse Gas emission,14680467.174921595,5349085.916835708,63.56324459501218,-63.56324459501218
Water based,karnataka,Greenhouse Gas emission,9728102.144668024,1674742.6712015707,82.78448718674795,-82.78448718674795
Water based,kerala,Greenhouse Gas emission,1553135.9729938577,1553135.9704571683,1.6332693602208223e-07,-1.6332693602208223e-07
Water based,madhya pradesh,Greenhouse Gas emission,22227176.48876487,8380663.629058217,62.29541960359034,-62.29541960359034
Water based,maharashtra,Greenhouse Gas emission,14318285.135830736,4577579.975821389,68.02983086035742,-68.02983086035742
Water based,manipur,Greenhouse Gas emission,1969921.3632335598,714711.3143197774,63.718789609621645,-63.718789609621645
Water based,meghalaya,Greenhouse Gas emission,929390.961108435,654915.4757522118,29.532833526686222,-29.532833526686222
