,target,source,avg_trade_qtl
282,Telangana,Daman & Diu,0.0
283,Tamil Nadu,Daman & Diu,0.0
284,Tripura,Daman & Diu,0.0
285,Uttarakhand,Daman & Diu,0.0
286,Uttar Pradesh,Daman & Diu,0.0
287,West Bengal,Daman & Diu,0.0
288,Andhra Pradesh,Delhi,0.0
289,Andaman & Nicobar Islands,Delhi,0.0
290,Arunachal Pradesh,Delhi,0.0
291,Assam,Delhi,12589.166666666666
292,Bihar,Delhi,0.0
293,Chattisgarh,Delhi,0.0
294,Chandigarh,Delhi,202.5
295,Daman & Diu,Delhi,0.0
296,Delhi,Delhi,0.0
297,Dadra & Nagar Haveli,Delhi,0.0
298,Goa,Delhi,0.0
299,Gujarat,Delhi,0.0
300,Himachal Pradesh,Delhi,0.0
301,Haryana,Delhi,1563.8333333333333
302,Jharkhand,Delhi,0.0
303,Jammu & Kashmir,Delhi,0.0
304,Kerala,Delhi,0.0
305,Karnataka,Delhi,0.0
306,Lakshadeep,Delhi,0.0
307,Maharashtra,Delhi,0.0
308,Meghalaya,Delhi,0.0
309,Manipur,Delhi,0.0
310,Madhya Pradesh,Delhi,3509.816666666667
311,Mizoram,Delhi,0.0
312,Nagaland,Delhi,53.333333333333336
313,Odisha,Delhi,4437.5
314,Punjab,Delhi,782.4166666666666
315,Puducherry,Delhi,0.0
316,Rajasthan,Delhi,442.44166666666666
317,Sikkim,Delhi,0.0
318,Telangana,Delhi,0.0
319,Tamil Nadu,Delhi,0.0
320,Tripura,Delhi,0.0
321,Uttarakhand,Delhi,0.0
322,Uttar Pradesh,Delhi,6500.0
323,West Bengal,Delhi,8835.0
324,Andhra Pradesh,Dadra & Nagar Haveli,0.0
325,Andaman & Nicobar Islands,Dadra & Nagar Haveli,0.0
326,Arunachal Pradesh,Dadra & Nagar Haveli,0.0
327,Assam,Dadra & Nagar Haveli,0.0
328,Bihar,Dadra & Nagar Haveli,0.0
329,Chattisgarh,Dadra & Nagar Haveli,0.0
330,Chandigarh,Dadra & Nagar Haveli,0.0
331,Daman & Diu,Dadra & Nagar Haveli,0.0
332,Delhi,Dadra & Nagar Haveli,0.0
333,Dadra & Nagar Haveli,Dadra & Nagar Haveli,0.0
334,Goa,Dadra & Nagar Haveli,0.0
335,Gujarat,Dadra & Nagar Haveli,0.0
336,Himachal Pradesh,Dadra & Nagar Haveli,0.0
337,Haryana,Dadra & Nagar Haveli,0.0
338,Jharkhand,Dadra & Nagar Haveli,0.0
339,Jammu & Kashmir,Dadra & Nagar Haveli,0.0
340,Kerala,Dadra & Nagar Haveli,0.0
341,Karnataka,Dadra & Nagar Haveli,0.0
342,Lakshadeep,Dadra & Nagar Haveli,0.0
343,Maharashtra,Dadra & Nagar Haveli,0.0
344,Meghalaya,Dadra & Nagar Haveli,0.0
345,Manipur,Dadra & Nagar Haveli,0.0
346,Madhya Pradesh,Dadra & Nagar Haveli,0.0
347,Mizoram,Dadra & Nagar Haveli,0.0
348,Nagaland,Dadra & Nagar Haveli,0.0
349,Odisha,Dadra & Nagar Haveli,0.0
350,Punjab,Dadra & Nagar Haveli,0.0
351,Puducherry,Dadra & Nagar Haveli,0.0
352,Rajasthan,Dadra & Nagar Haveli,0.0
353,Sikkim,Dadra & Nagar Haveli,0.0
354,Telangana,Dadra & Nagar Haveli,0.0
355,Tamil Nadu,Dadra & Nagar Haveli,0.0
356,Tripura,Dadra & Nagar Haveli,0.0
357,Uttarakhand,Dadra & Nagar Haveli,0.0
358,Uttar Pradesh,Dadra & Nagar Haveli,0.0
359,West Bengal,Dadra & Nagar Haveli,0.0
360,Andhra Pradesh,Goa,0.0
361,Andaman & Nicobar Islands,Goa,0.0
362,Arunachal Pradesh,Goa,0.0
363,Assam,Goa,0.0
364,Bihar,Goa,0.0
365,Chattisgarh,Goa,0.0
366,Chandigarh,Goa,0.0
