,state,district,Year,Season,crop,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),N_applied(kg/ha),P_applied(kg/ha),K_applied(kg/ha),Manure (kg/ha),calorie_per_100g,MSP_RsperQntl,CostofCultivation_rs_ha,CWR_y,CWU green_y,CWU blue_y,CWR m3/ha,CWU green m3/ha,CWU blue m3/ha
15897,tamil nadu,kanniyakumari,2012,Kharif,rice,12412,57882,4.663390267,116.8950027,66.60958632,61.22428134,3876.742466,345,1265,51157.05,32335367,16791899,14351936,6933.875388,3600.792136,3077.575578
15898,tamil nadu,kanniyakumari,2013,Kharif,rice,13619,66703,4.897789852,115.3756128,63.19609914,59.99889944,3010.386126,345,1327.5,,32335367,16791899,14351936,6602.03234,3428.464574,2930.288239
15901,tamil nadu,kanniyakumari,2014,Kharif,rice,13176,66943,5.080676988,117.5150845,53.99074627,55.57340686,4871.435175,345,1380,,32335367,16791899,14351936,6364.381572,3305.05148,2824.807803
15903,tamil nadu,kanniyakumari,2015,Kharif,rice,12957,55789,4.305703481,111.353262,53.09427085,53.76321265,2886.759158,345,1430,55450.91,32335367,16791899,14351936,7509.891739,3899.919972,3333.238358
15905,tamil nadu,kanniyakumari,2016,Kharif,rice,12156,48670,4.00378414,113.9695012,51.86247167,58.07512254,2610.972397,345,1490,75492.62,32335367,16791899,14351936,8076.201382,4194.007073,3584.59285
15908,tamil nadu,kanniyakumari,2017,Kharif,rice,9514,32525,3.418646206,119.9650218,57.70221459,51.93318657,1097.201055,345,1570,60054.43,32335367,16791899,14351936,9458.529797,4911.856329,4198.134331
15910,tamil nadu,kanniyakumari,2018,Kharif,rice,11878,47247,3.977689847,113.5698513,56.25067603,51.41837368,944.8661801,345,,,32335367,16791899,14351936,8129.182577,4221.520442,3608.108363
15912,tamil nadu,kanniyakumari,2019,Kharif,rice,10921,43592,3.991575863,121.3985501,72.98035057,52.72406643,832.6127368,345,,,32335367,16791899,14351936,8100.902528,4206.834487,3595.556365
15913,tamil nadu,karur,2009,Kharif,rice,15013,64087,4.268767069,136.4930556,81.45833333,116.6666667,5347.222222,345,1000,,32335367,16791899,14351936,7574.87267,3933.664857,3362.07991
15916,tamil nadu,karur,2010,Kharif,rice,14808,56991,3.848662885,112.3010422,89.1381657,100.3118862,11967.90125,345,1000,,32335367,16791899,14351936,8401.714561,4363.047506,3729.0707
15920,tamil nadu,karur,2011,Kharif,rice,17090,65737,3.846518432,151.6360042,61.90559871,70.33833318,12558.99998,345,1095,,32335367,16791899,14351936,8406.398558,4365.479926,3731.149676
15923,tamil nadu,karur,2012,Kharif,rice,10907,44073,4.040799487,73.86424731,46.82365592,63.31854839,12220.43011,345,1265,51157.05,32335367,16791899,14351936,8002.220132,4155.588283,3551.756539
15928,tamil nadu,karur,2013,Kharif,rice,12565,69898,5.562912853,106.4923214,61.89812277,76.66433939,6784.143737,345,1327.5,,32335367,16791899,14351936,5812.668265,3018.544321,2579.931841
15933,tamil nadu,karur,2014,Kharif,rice,13445,68608,5.102863518,117.1045113,95.04904569,95.68334297,8057.6417,345,1380,,32335367,16791899,14351936,6336.71014,3290.681583,2812.525937
15938,tamil nadu,karur,2015,Kharif,rice,13276,52886,3.983579391,125.4818399,74.96737712,52.07264028,11316.8769,345,1430,55450.91,32335367,16791899,14351936,8117.163943,4215.279112,3602.773935
15942,tamil nadu,karur,2016,Kharif,rice,3672,10792,2.938997821,133.5318399,74.96737712,76.38842975,10186.38538,345,1490,75492.62,32335367,16791899,14351936,11002.17454,5713.477866,4883.275481
15947,tamil nadu,karur,2017,Kharif,rice,11011,41545,3.773045137,86.53044267,64.37414467,87.48428989,6126.309173,345,1570,60054.43,32335367,16791899,14351936,8570.098111,4450.489828,3803.807132
15952,tamil nadu,karur,2018,Kharif,rice,11070,38210,3.451671183,136.490994,65.2872777,42.57865937,14173.50661,345,,,32335367,16791899,14351936,9368.032261,4864.860558,4157.967326
15956,tamil nadu,karur,2019,Kharif,rice,10862,37843,3.483980851,65.52462122,37.51893939,41.19318182,12594.69697,345,,,32335367,16791899,14351936,9281.155203,4819.744918,4119.407257
15957,tamil nadu,krishnagiri,2009,Kharif,rice,16490,64976,3.940327471,116.6005033,60.93444283,66.11270605,2986.569126,345,1000,,32335367,16791899,14351936,8206.263879,4261.549103,3642.320621
15960,tamil nadu,krishnagiri,2010,Kharif,rice,16337,70126,4.292464957,104.8164566,54.95157653,63.93791598,2433.874693,345,1000,,32335367,16791899,14351936,7533.053228,3911.947836,3343.518501
15965,tamil nadu,krishnagiri,2011,Kharif,rice,20111,91443,4.546914624,127.0782022,63.44617853,121.6230167,1842.781478,345,1095,,32335367,16791899,14351936,7111.496405,3693.031515,3156.412026
15968,tamil nadu,krishnagiri,2012,Kharif,rice,17753,72186,4.066129668,170.6785161,64.80329294,103.0578785,0,345,1265,51157.05,32335367,16791899,14351936,7952.369855,4129.700814,3529.630674
15973,tamil nadu,krishnagiri,2013,Kharif,rice,29704,143404,4.827767304,145.9162342,76.33425277,112.7203806,746.7248908,345,1327.5,,32335367,16791899,14351936,6697.789053,3478.191458,2972.78951
15978,tamil nadu,krishnagiri,2014,Kharif,rice,19264,94094,4.884447674,88.13077241,68.08930484,50.15334388,3305.704033,345,1380,,32335367,16791899,14351936,6620.066209,3437.829642,2938.292506
15983,tamil nadu,krishnagiri,2015,Kharif,rice,22805,102306,4.486121465,66.00328038,30.40637631,35.8280363,2987.686585,345,1430,55450.91,32335367,16791899,14351936,7207.867031,3743.077207,3199.185781
15988,tamil nadu,krishnagiri,2016,Kharif,rice,15987,69583,4.352473885,105.5988667,72.7144795,43.60645742,1068.580542,345,1490,75492.62,32335367,16791899,14351936,7429.192651,3858.012579,3297.420359
15993,tamil nadu,krishnagiri,2017,Kharif,rice,16000,74057,4.6285625,68.56852373,61.39792618,28.81299512,4708.452679,345,1570,60054.43,32335367,16791899,14351936,6986.049556,3627.886412,3100.732895
15998,tamil nadu,krishnagiri,2018,Kharif,rice,15551,76528,4.921098322,103.9052129,43.37752952,101.816497,240.3846154,345,,,32335367,16791899,14351936,6570.762234,3412.22587,2916.409115
16003,tamil nadu,krishnagiri,2019,Kharif,rice,16941,77512,4.575408772,74.31228848,52.79036417,65.78471928,4240.355219,345,,,32335367,16791899,14351936,7067.208334,3670.032523,3136.754925
16004,tamil nadu,madurai,2009,Kharif,rice,50986,203616,3.993566861,77.70955478,37.08234908,80.56850437,3075.238613,345,1000,,32335367,16791899,14351936,8096.863812,4204.737164,3593.763795
16007,tamil nadu,madurai,2010,Kharif,rice,61064,260055,4.258728547,64.66826044,49.41818871,55.76728914,6902.932087,345,1000,,32335367,16791899,14351936,7592.727886,3942.93715,3370.004883
16012,tamil nadu,madurai,2011,Kharif,rice,65635,304235,4.63525558,97.88330851,80.88375637,97.85596409,8813.130805,345,1095,,32335367,16791899,14351936,6975.962046,3622.647923,3096.25559
16015,tamil nadu,madurai,2012,Kharif,rice,18024,65000,3.606302708,66.25509162,73.37649888,112.9811893,6664.025438,345,1265,51157.05,32335367,16791899,14351936,8966.348536,4656.264424,3979.681453
16020,tamil nadu,madurai,2013,Kharif,rice,35268,163965,4.649115345,121.2628164,59.58878657,102.6752224,4900.172666,345,1327.5,,32335367,16791899,14351936,6955.165574,3611.848223,3087.025151
16025,tamil nadu,madurai,2014,Kharif,rice,47717,197498,4.138944192,95.64249195,24.32257102,54.7249487,1290.748259,345,1380,,32335367,16791899,14351936,7812.467504,4057.048905,3467.53552
16030,tamil nadu,madurai,2015,Kharif,rice,55983,203670,3.638068699,101.9312057,111.5072344,65.5385453,0,345,1430,55450.91,32335367,16791899,14351936,8888.058382,4615.608002,3944.932651
16035,tamil nadu,madurai,2016,Kharif,rice,10407,34120,3.278562506,89.94722519,94.24455053,87.40415992,0,345,1490,75492.62,32335367,16791899,14351936,9862.666013,5121.726052,4377.508732
16040,tamil nadu,madurai,2017,Kharif,rice,18132,75045,4.138815354,103.7107113,61.90556391,29.01502212,1915.070895,345,1570,60054.43,32335367,16791899,14351936,7812.7107,4057.175197,3467.643461
