,state,district,Year,Season,crop,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),N_applied(kg/ha),P_applied(kg/ha),K_applied(kg/ha),Manure (kg/ha),calorie_per_100g,MSP_RsperQntl,CostofCultivation_rs_ha,CWR_y,CWU green_y,CWU blue_y,CWR m3/ha,CWU green m3/ha,CWU blue m3/ha
78,andhra pradesh,,2015,Rabi,maize,4100.0,16006.0,3.90390243902439,141.95571175262498,69.84922854355622,32.37637969688335,0.0,342,1325.0,43025.34,17893488.0,5763240.0,12130248.0,4583.487492190428,1476.2766462576533,3107.210845932775
79,andhra pradesh,anantapur,2015,Rabi,bajra,33.0,34.0,1.0303030303030305,,,,,361,1275.0,,3427116.0,2995608.0,85008.0,3326.3184705882345,2907.501882352941,82.50776470588234
80,andhra pradesh,anantapur,2015,Rabi,jowar,7790.0,1877.0,0.2409499358151476,8.3629640165,8.3629640165,0.0,0.0,349,1580.0,20671.52,3048825.0,853830.0,153435.0,12653.354688332447,3543.5992008524245,636.7920351624934
81,andhra pradesh,anantapur,2015,Rabi,ragi,623.0,1142.0,1.8330658105939004,,,,,328,1650.0,,3427116.0,2995608.0,85008.0,1869.6088161120842,1634.206465849387,46.37476707530649
82,andhra pradesh,anantapur,2015,Rabi,rice,13590.0,36639.0,2.696026490066225,170.83600709560443,88.79194988609889,68.17378497648352,7609.175312999999,345,1430.0,53108.28,26872696.0,1891305.0,24981391.0,9967.51927290592,701.5157332350774,9266.003539670843
83,andhra pradesh,anantapur,2015,Rabi,wheat,19.0,12.0,0.631578947368421,,,,,346,1525.0,,2779625.0,391852.0,1840863.0,4401.072916666667,620.4323333333333,2914.69975
84,andhra pradesh,anantapur,2016,Rabi,maize,4175.0,18925.0,4.532934131736527,,,,,342,1365.0,67284.98,17893488.0,5763240.0,12130248.0,3947.4405495376486,1271.4149009247028,2676.025648612946
85,andhra pradesh,anantapur,2016,Rabi,bajra,6.0,3.0,0.5,,,,,361,1330.0,,3427116.0,2995608.0,85008.0,6854.232,5991.216,170.016
86,andhra pradesh,anantapur,2016,Rabi,jowar,2613.0,295.0,0.1128970531955606,,,,,349,1637.5,39771.88,3048825.0,853830.0,153435.0,27005.355000000014,7562.907762711869,1359.0700169491531
87,andhra pradesh,anantapur,2016,Rabi,ragi,1217.0,2548.0,2.0936729663106,,,,,328,1725.0,,3427116.0,2995608.0,85008.0,1636.8917472527469,1430.790791208791,40.60232967032966
88,andhra pradesh,anantapur,2016,Rabi,rice,4904.0,13293.0,2.7106443719412723,,,,,345,1490.0,80303.72,26872696.0,1891305.0,24981391.0,9913.766733167833,697.7326201760326,9216.0341129918
89,andhra pradesh,anantapur,2017,Rabi,maize,4222.0,19860.0,4.703931785883468,57.5,0.0,75.0,0.0,342,1425.0,49333.13,17893488.0,5763240.0,12130248.0,3803.942917220543,1225.1963383685797,2578.7465788519635
90,andhra pradesh,anantapur,2017,Rabi,bajra,27.0,36.0,1.3333333333333333,,,,,361,1425.0,,3427116.0,2995608.0,85008.0,2570.337,2246.706,63.756
91,andhra pradesh,anantapur,2017,Rabi,jowar,4549.0,1997.0,0.4389975818861288,129.30412261213974,54.63192678248909,1.1462882096069869,267.1547023427948,349,1712.5,49333.13,3048825.0,853830.0,153435.0,6944.969917376065,1944.9537656484729,349.5121757636455
92,andhra pradesh,anantapur,2017,Rabi,ragi,818.0,2117.0,2.5880195599022007,,,,,328,1900.0,,3427116.0,2995608.0,85008.0,1324.2233764761454,1157.490478979688,32.84673783656117
93,andhra pradesh,anantapur,2017,Rabi,rice,18621.0,55528.0,2.982009559099941,174.34580736,153.58697158821622,28.52390852378378,4108.108108108108,345,1570.0,60845.66,26872696.0,1891305.0,24981391.0,9011.606256591269,634.2384095411323,8377.367847050136
94,andhra pradesh,anantapur,2017,Rabi,wheat,8.0,6.0,0.75,,,,,346,1735.0,,2779625.0,391852.0,1840863.0,3706.1666666666665,522.4693333333333,2454.484
95,andhra pradesh,anantapur,2018,Rabi,maize,3759.0,11119.0,2.9579675445597235,25.0,25.0,0.0,0.0,342,,,17893488.0,5763240.0,12130248.0,6049.250957100458,1948.378375753215,4100.872581347243
96,andhra pradesh,anantapur,2018,Rabi,bajra,26.0,30.0,1.1538461538461535,,,,,361,,,3427116.0,2995608.0,85008.0,2970.167200000001,2596.1936000000005,73.67360000000002
97,andhra pradesh,anantapur,2018,Rabi,jowar,3263.0,434.0,0.1330064357952804,43.71953379905455,18.196736595890908,0.0,58.74125874909092,349,,,3048825.0,853830.0,153435.0,22922.38703917051,6419.463801843319,1153.5907949308757
98,andhra pradesh,anantapur,2018,Rabi,ragi,1024.0,2543.0,2.4833984375,,,,,328,,,3427116.0,2995608.0,85008.0,1380.0105324419976,1206.2534769956744,34.23051199370822
99,andhra pradesh,anantapur,2018,Rabi,rice,9066.0,22629.0,2.49602911978822,194.25,127.75,81.25,0.0,345,,,26872696.0,1891305.0,24981391.0,10766.178882672677,757.7255349330505,10008.453347739625
100,andhra pradesh,anantapur,2019,Rabi,maize,8952.0,43077.0,4.811997319034853,293.4617248943686,107.08008016042662,77.06214535520479,0.0,342,,,17893488.0,5763240.0,12130248.0,3718.5157874503793,1197.6814652830976,2520.8343221672817
101,andhra pradesh,anantapur,2019,Rabi,bajra,29.0,44.0,1.5172413793103448,,,,,361,,,3427116.0,2995608.0,85008.0,2258.7810000000004,1974.3780000000002,56.028000000000006
102,andhra pradesh,anantapur,2019,Rabi,jowar,5513.0,4912.0,0.8909849446762198,144.22961922387597,1.3774597494573644,0.0,0.0,349,,,3048825.0,853830.0,153435.0,3421.859166327362,958.2990207654724,172.2082970276873
103,andhra pradesh,anantapur,2019,Rabi,ragi,1014.0,2490.0,2.455621301775148,,,,,328,,,3427116.0,2995608.0,85008.0,1395.6207325301204,1219.8981975903614,34.6177156626506
104,andhra pradesh,anantapur,2019,Rabi,rice,14331.0,44922.0,3.1346033075151767,100.8,46.0,60.0,0.0,345,,,26872696.0,1891305.0,24981391.0,8572.917643381863,603.3634289435021,7969.55421443836
105,andhra pradesh,anantapur,2019,Rabi,wheat,10.0,3.0,0.3,,,,,346,,,2779625.0,391852.0,1840863.0,9265.416666666666,1306.1733333333334,6136.21
106,andhra pradesh,chittoor,2009,Rabi,maize,611.0,4466.0,7.309328968903437,123.6481394854559,74.45378266895804,27.133445126542085,402.8602190207725,342,840.0,,17893488.0,5763240.0,12130248.0,2448.0342964621586,788.4773040752351,1659.5569923869234
107,andhra pradesh,chittoor,2009,Rabi,bajra,17.0,20.0,1.1764705882352942,,,,,361,840.0,,3427116.0,2995608.0,85008.0,2913.0486,2546.2668,72.2568
108,andhra pradesh,chittoor,2009,Rabi,ragi,873.0,1913.0,2.191294387170676,59.479166665,28.02083333,8.854166665,0.0,328,840.0,,3427116.0,2995608.0,85008.0,1563.968775744903,1367.0495473078931,38.793509670674325
109,andhra pradesh,chittoor,2009,Rabi,rice,35155.0,113937.0,3.2409899018631774,100.70070873162676,64.85622490059454,19.668017796634185,2180.541124779521,345,1000.0,,26872696.0,1891305.0,24981391.0,8291.508709901085,583.5578194528556,7707.950890448231
110,andhra pradesh,chittoor,2010,Rabi,maize,539.0,4914.0,9.116883116883116,123.16418499690876,85.20426061133692,36.01024421516639,713.032680424864,342,880.0,,17893488.0,5763240.0,12130248.0,1962.6760341880342,632.1502564102565,1330.5257777777779
111,andhra pradesh,chittoor,2010,Rabi,bajra,15.0,29.0,1.933333333333333,,,,,361,880.0,,3427116.0,2995608.0,85008.0,1772.6462068965523,1549.452413793104,43.9696551724138
112,andhra pradesh,chittoor,2010,Rabi,ragi,847.0,1266.0,1.4946871310507674,71.7032967032967,37.91208790879121,0.0,0.0,328,880.0,,3427116.0,2995608.0,85008.0,2292.8651279620854,2004.1705971563981,56.87344075829384
113,andhra pradesh,chittoor,2010,Rabi,rice,43558.0,131502.0,3.0190091372422976,97.9685831233151,75.0972433980744,10.874442057339168,338.5042200656455,345,1000.0,,26872696.0,1891305.0,24981391.0,8901.164182810908,626.4654772550988,8274.69870555581
114,andhra pradesh,chittoor,2011,Rabi,maize,877.0,6805.0,7.759407069555302,124.80425174515386,67.96600459938007,35.38075580045178,889.1850283868655,342,980.0,,17893488.0,5763240.0,12130248.0,2306.0380567229977,742.7423188831741,1563.2957378398235
115,andhra pradesh,chittoor,2011,Rabi,bajra,2.0,4.0,2.0,,,,,361,980.0,,3427116.0,2995608.0,85008.0,1713.558,1497.804,42.504
116,andhra pradesh,chittoor,2011,Rabi,ragi,693.0,1398.0,2.017316017316017,2.94,5.75,0.0,150.0,328,1050.0,,3427116.0,2995608.0,85008.0,1698.8493476394851,1484.947313304721,42.13915879828326
117,andhra pradesh,chittoor,2011,Rabi,rice,33764.0,113211.0,3.3530091221419265,133.42906357741424,73.46511038191207,28.8358175292003,8214.357353216306,345,1095.0,,26872696.0,1891305.0,24981391.0,8014.501309448728,564.0619906192861,7450.439318829442
118,andhra pradesh,chittoor,2012,Rabi,maize,1000.0,4000.0,4.0,177.5958188142857,57.78745644714286,57.78745644714286,12418.118468571429,342,1175.0,34990.18,17893488.0,5763240.0,12130248.0,4473.372,1440.81,3032.562
119,andhra pradesh,chittoor,2012,Rabi,ragi,1000.0,1000.0,1.0,28.75,0.0,0.0,2500.0,328,1500.0,29634.33,3427116.0,2995608.0,85008.0,3427.116,2995.608,85.008
120,andhra pradesh,chittoor,2012,Rabi,rice,35000.0,126000.0,3.6,120.75282151546052,77.27049694537828,31.3669906797352,4460.461701108553,345,1265.0,42669.85,26872696.0,1891305.0,24981391.0,7464.637777777778,525.3625,6939.275277777778
121,andhra pradesh,chittoor,2013,Rabi,maize,1303.0,9713.0,7.454336147352264,141.25443541416806,70.60294731261237,33.22389361164811,909.703561254738,342,1310.0,,17893488.0,5763240.0,12130248.0,2400.4133495315555,773.1392690208997,1627.2740805106557
122,andhra pradesh,chittoor,2013,Rabi,bajra,2.0,4.0,2.0,,,,,361,1310.0,,3427116.0,2995608.0,85008.0,1713.558,1497.804,42.504
123,andhra pradesh,chittoor,2013,Rabi,ragi,641.0,1140.0,1.778471138845554,71.0,34.5,0.0,0.0,328,1500.0,,3427116.0,2995608.0,85008.0,1927.0011894736838,1684.3725684210524,47.79835789473683
124,andhra pradesh,chittoor,2013,Rabi,rice,34654.0,120249.0,3.469989034454897,98.68679539963044,67.00378936859158,31.363399480650827,7380.625121428786,345,1327.5,,26872696.0,1891305.0,24981391.0,7744.317268201814,545.0463909886985,7199.270877213115
125,andhra pradesh,chittoor,2014,Rabi,maize,984.0,6429.0,6.533536585365853,151.26591036952811,66.33026344288848,39.909944069990985,1016.4829931408776,342,1310.0,41509.6,17893488.0,5763240.0,12130248.0,2738.713982267849,882.1011292580496,1856.6128530097994
126,andhra pradesh,chittoor,2014,Rabi,bajra,1.0,2.0,2.0,,,,,361,1250.0,,3427116.0,2995608.0,85008.0,1713.558,1497.804,42.504
127,andhra pradesh,chittoor,2014,Rabi,ragi,552.0,844.0,1.5289855072463767,,,,,328,1550.0,,3427116.0,2995608.0,85008.0,2241.431317535545,1959.212815165877,55.59764928909953
128,andhra pradesh,chittoor,2014,Rabi,rice,27661.0,87962.0,3.1800007230396585,112.58048152200266,47.08226690352471,44.32079728118158,1953.322684242323,345,1380.0,52092.45,26872696.0,1891305.0,24981391.0,8450.531411927877,594.7498647711512,7855.781547156727
129,andhra pradesh,chittoor,2015,Rabi,maize,890.0,3369.0,3.785393258426968,145.4124584474352,51.16436588368288,34.20456346965581,1516.9256468507133,342,1325.0,43025.34,17893488.0,5763240.0,12130248.0,4726.982582368653,1522.4943900267135,3204.48819234194
130,andhra pradesh,chittoor,2015,Rabi,ragi,803.0,1324.0,1.6488169364881693,,,,,328,1650.0,,3427116.0,2995608.0,85008.0,2078.53032326284,1816.82267673716,51.5569667673716
131,andhra pradesh,chittoor,2015,Rabi,rice,78677.0,301962.0,3.83799585647648,126.3659190950262,93.46195200259504,37.22616590870249,23.88545075897772,345,1430.0,53108.28,26872696.0,1891305.0,24981391.0,7001.75221780224,492.7845340970056,6508.967683705235
