,Target,Source,quantity,year
156,Bihar,Bihar,,2010
157,Chattishgarh,Bihar,,2010
158,Chandigarh,Bihar,,2010
159,Delhi,Bihar,,2010
160,Goa,Bihar,,2010
161,Gujarat(excluding ports),Bihar,24020,2010
162,Other ports of Gujarat,Bihar,,2010
163,Haryana,Bihar,,2010
164,Himachal Pradesh,Bihar,129730,2010
165,Jammu and Kasmir,Bihar,,2010
166,Jharkhand,Bihar,,2010
167,Karnataka(excluding ports,Bihar,,2010
168,Other ports of Karnataka,Bihar,,2010
169,Kerala(excluding ports),Bihar,,2010
170,Other ports of Kerala,Bihar,,2010
171,Madhya Pradesh,Bihar,,2010
172,Maharashtra(excluding ports),Bihar,,2010
173,Other ports of Maharashtra,Bihar,,2010
174,Manipur,Bihar,,2010
175,Meghalaya,Bihar,,2010
176,Mizoram,Bihar,,2010
177,Nagaland,Bihar,,2010
178,Orissa,Bihar,,2010
179,Pondicheri and Karikal,Bihar,,2010
180,Punjab,Bihar,,2010
181,Rajasthan,Bihar,,2010
182,Tamil Nadu(excluding ports),Bihar,,2010
183,Other ports of Tamil Nadu,Bihar,,2010
184,Tripura,Bihar,,2010
185,Uttaranchal,Bihar,,2010
186,Uttar Pradesh,Bihar,,2010
187,West Bengal(excluding ports) ,Bihar,,2010
188,Other ports of West Bengal,Bihar,199425,2010
189,T  O  T  A  L,Bihar,431395,2010
190,Andhra(excluding ports),Chattishgarh,26910,2010
191,Other ports of Andhra,Chattishgarh,,2010
192,Assam,Chattishgarh,640,2010
193,Arunachal Pradesh,Chattishgarh,,2010
194,Bihar,Chattishgarh,,2010
195,Chattishgarh,Chattishgarh,,2010
196,Chandigarh,Chattishgarh,,2010
197,Delhi,Chattishgarh,,2010
198,Goa,Chattishgarh,,2010
199,Gujarat(excluding ports),Chattishgarh,,2010
200,Other ports of Gujarat,Chattishgarh,,2010
201,Haryana,Chattishgarh,,2010
202,Himachal Pradesh,Chattishgarh,,2010
203,Jammu and Kasmir,Chattishgarh,,2010
204,Jharkhand,Chattishgarh,,2010
205,Karnataka(excluding ports,Chattishgarh,,2010
206,Other ports of Karnataka,Chattishgarh,,2010
207,Kerala(excluding ports),Chattishgarh,,2010
208,Other ports of Kerala,Chattishgarh,,2010
209,Madhya Pradesh,Chattishgarh,,2010
210,Maharashtra(excluding ports),Chattishgarh,,2010
211,Other ports of Maharashtra,Chattishgarh,,2010
212,Manipur,Chattishgarh,,2010
213,Meghalaya,Chattishgarh,,2010
214,Mizoram,Chattishgarh,,2010
215,Nagaland,Chattishgarh,,2010
216,Orissa,Chattishgarh,,2010
217,Pondicheri and Karikal,Chattishgarh,,2010
218,Punjab,Chattishgarh,,2010
219,Rajasthan,Chattishgarh,,2010
220,Tamil Nadu(excluding ports),Chattishgarh,,2010
221,Other ports of Tamil Nadu,Chattishgarh,,2010
222,Tripura,Chattishgarh,,2010
223,Uttaranchal,Chattishgarh,,2010
224,Uttar Pradesh,Chattishgarh,,2010
225,West Bengal(excluding ports) ,Chattishgarh,208182,2010
226,Other ports of West Bengal,Chattishgarh,,2010
227,T  O  T  A  L,Chattishgarh,235732,2010
228,Andhra(excluding ports),Chandigarh,,2010
229,Other ports of Andhra,Chandigarh,,2010
230,Assam,Chandigarh,,2010
231,Arunachal Pradesh,Chandigarh,,2010
232,Bihar,Chandigarh,,2010
233,Chattishgarh,Chandigarh,,2010
234,Chandigarh,Chandigarh,,2010
235,Delhi,Chandigarh,,2010
236,Goa,Chandigarh,,2010
237,Gujarat(excluding ports),Chandigarh,,2010
238,Other ports of Gujarat,Chandigarh,,2010
239,Haryana,Chandigarh,,2010
240,Himachal Pradesh,Chandigarh,,2010
241,Jammu and Kasmir,Chandigarh,,2010
242,Jharkhand,Chandigarh,,2010
243,Karnataka(excluding ports,Chandigarh,,2010
244,Other ports of Karnataka,Chandigarh,,2010
245,Kerala(excluding ports),Chandigarh,,2010
246,Other ports of Kerala,Chandigarh,,2010
247,Madhya Pradesh,Chandigarh,,2010
248,Maharashtra(excluding ports),Chandigarh,,2010
249,Other ports of Maharashtra,Chandigarh,,2010
250,Manipur,Chandigarh,,2010
251,Meghalaya,Chandigarh,,2010
252,Mizoram,Chandigarh,,2010
253,Nagaland,Chandigarh,,2010
254,Orissa,Chandigarh,,2010
255,Pondicheri and Karikal,Chandigarh,,2010
256,Punjab,Chandigarh,,2010
257,Rajasthan,Chandigarh,,2010
258,Tamil Nadu(excluding ports),Chandigarh,,2010
259,Other ports of Tamil Nadu,Chandigarh,,2010
260,Tripura,Chandigarh,,2010
261,Uttaranchal,Chandigarh,,2010
262,Uttar Pradesh,Chandigarh,,2010
263,West Bengal(excluding ports) ,Chandigarh,,2010
264,Other ports of West Bengal,Chandigarh,,2010
265,T  O  T  A  L,Chandigarh,0,2010
266,Andhra(excluding ports),Delhi,,2010
267,Other ports of Andhra,Delhi,,2010
268,Assam,Delhi,270,2010
269,Arunachal Pradesh,Delhi,,2010
270,Bihar,Delhi,,2010
271,Chattishgarh,Delhi,,2010
272,Chandigarh,Delhi,260,2010
273,Delhi,Delhi,,2010
274,Goa,Delhi,,2010
275,Gujarat(excluding ports),Delhi,,2010
276,Other ports of Gujarat,Delhi,,2010
277,Haryana,Delhi,,2010
278,Himachal Pradesh,Delhi,,2010
279,Jammu and Kasmir,Delhi,,2010
280,Jharkhand,Delhi,,2010
281,Karnataka(excluding ports,Delhi,,2010
282,Other ports of Karnataka,Delhi,,2010
283,Kerala(excluding ports),Delhi,,2010
284,Other ports of Kerala,Delhi,,2010
285,Madhya Pradesh,Delhi,,2010
286,Maharashtra(excluding ports),Delhi,,2010
287,Other ports of Maharashtra,Delhi,,2010
288,Manipur,Delhi,,2010
289,Meghalaya,Delhi,,2010
290,Mizoram,Delhi,,2010
291,Nagaland,Delhi,,2010
292,Orissa,Delhi,,2010
293,Pondicheri and Karikal,Delhi,,2010
294,Punjab,Delhi,,2010
295,Rajasthan,Delhi,,2010
296,Tamil Nadu(excluding ports),Delhi,,2010
297,Other ports of Tamil Nadu,Delhi,,2010
298,Tripura,Delhi,,2010
299,Uttaranchal,Delhi,,2010
300,Uttar Pradesh,Delhi,,2010
301,West Bengal(excluding ports) ,Delhi,,2010
302,Other ports of West Bengal,Delhi,,2010
303,T  O  T  A  L,Delhi,530,2010
304,Andhra(excluding ports),Goa,,2010
305,Other ports of Andhra,Goa,,2010
306,Assam,Goa,,2010
307,Arunachal Pradesh,Goa,,2010
308,Bihar,Goa,,2010
309,Chattishgarh,Goa,,2010
310,Chandigarh,Goa,,2010
311,Delhi,Goa,,2010
312,Goa,Goa,,2010
313,Gujarat(excluding ports),Goa,,2010
314,Other ports of Gujarat,Goa,,2010
315,Haryana,Goa,,2010
316,Himachal Pradesh,Goa,,2010
317,Jammu and Kasmir,Goa,,2010
318,Jharkhand,Goa,,2010
319,Karnataka(excluding ports,Goa,,2010
320,Other ports of Karnataka,Goa,,2010
321,Kerala(excluding ports),Goa,,2010
322,Other ports of Kerala,Goa,,2010
323,Madhya Pradesh,Goa,,2010
324,Maharashtra(excluding ports),Goa,,2010
325,Other ports of Maharashtra,Goa,,2010
326,Manipur,Goa,,2010
327,Meghalaya,Goa,,2010
328,Mizoram,Goa,,2010
329,Nagaland,Goa,,2010
330,Orissa,Goa,,2010
331,Pondicheri and Karikal,Goa,,2010
332,Punjab,Goa,,2010
333,Rajasthan,Goa,,2010
334,Tamil Nadu(excluding ports),Goa,,2010
335,Other ports of Tamil Nadu,Goa,,2010
336,Tripura,Goa,,2010
337,Uttaranchal,Goa,,2010
338,Uttar Pradesh,Goa,,2010
339,West Bengal(excluding ports) ,Goa,,2010
340,Other ports of West Bengal,Goa,,2010
341,T  O  T  A  L,Goa,0,2010
342,Andhra(excluding ports),Gujarat(excluding ports),,2010
343,Other ports of Andhra,Gujarat(excluding ports),,2010
344,Assam,Gujarat(excluding ports),,2010
345,Arunachal Pradesh,Gujarat(excluding ports),,2010
346,Bihar,Gujarat(excluding ports),,2010
347,Chattishgarh,Gujarat(excluding ports),,2010
348,Chandigarh,Gujarat(excluding ports),,2010
349,Delhi,Gujarat(excluding ports),,2010
350,Goa,Gujarat(excluding ports),,2010
351,Gujarat(excluding ports),Gujarat(excluding ports),,2010
352,Other ports of Gujarat,Gujarat(excluding ports),,2010
353,Haryana,Gujarat(excluding ports),,2010
354,Himachal Pradesh,Gujarat(excluding ports),,2010
355,Jammu and Kasmir,Gujarat(excluding ports),,2010
356,Jharkhand,Gujarat(excluding ports),,2010
357,Karnataka(excluding ports,Gujarat(excluding ports),,2010
358,Other ports of Karnataka,Gujarat(excluding ports),,2010
