Year,Crop,State,CostofProduction_rs_Quintal
2017,Maize,Gujarat,1821.34
2017,Jowar,Gujarat,1821.34
2017,Bajra,Gujarat,1191.41
2012,Bajra ,Gujarat ,955.1
2012,Maize,Gujarat ,1439.99
2012,Wheat,Gujarat ,1252.14
2012,Rice,Gujarat ,1299.64
2014,Wheat,Gujarat ,1239.07
2014,Rice,Haryana,1531.08
2014,Wheat,Haryana,1240.99
2014,Bajra,Haryana,1487.42
2015,Bajra,Haryana,
2015,Wheat,Haryana,
2015,Rice,Haryana,
2016,Rice,Haryana,
2016,Wheat,Haryana,
2016,Bajra,Haryana,
2017,Rice,Haryana,1447.82
2017,Wheat,Haryana,1341.44
2017,Bajra,Haryana,1584.37
2012,Bajra ,Haryana ,1416.09
2012,Wheat,Haryana ,1040.78
2012,Rice,Haryana ,1248.26
2014,Rice,Himachal Pradesh ,1099.8
2014,Wheat,Himachal Pradesh ,1750.37
2014,Maize,Himachal Pradesh ,1673.25
2016,Rice,Himachal Pradesh ,
2016,Wheat,Himachal Pradesh ,
2016,Maize,Himachal Pradesh ,
2017,Rice,Himachal Pradesh ,1376.74
2017,Wheat,Himachal Pradesh ,1772.97
2017,Maize,Himachal Pradesh ,1447.43
2017,Jowar,Himachal Pradesh ,1447.43
2017,Barley,Himachal Pradesh ,4076.19
2012,Wheat,Himachal Pradesh ,1434.29
2012,Maize,Himachal Pradesh ,1363.2
2012,Rice,Himachal Pradesh ,977.97
2015,Wheat,Himachal Pradesh ,
2015,Maize,Himachal Pradesh ,
2015,Rice,Himachal Pradesh ,
2014,Rice,Jharkhand,1083.41
2014,Wheat,Jharkhand,1734.07
2014,Maize,Jharkhand,1007.96
2015,Wheat,Jharkhand,
2015,Rice,Jharkhand,
2015,Maize,Jharkhand,
2016,Rice,Jharkhand,
2016,Wheat,Jharkhand,
2016,Maize,Jharkhand,
2017,Rice,Jharkhand,1314.85
2017,Wheat,Jharkhand,1791.24
2017,Maize,Jharkhand,1255.9
2017,Jowar,Jharkhand,1255.9
2012,Wheat,Jharkhand ,976.89
2012,Rice,Jharkhand ,1470.53
2014,Rice,Karnataka,1195.71
2014,Wheat,Karnataka,2354.04
2014,Maize,Karnataka,1273.66
2014,Jowar,Karnataka,2266.91
2015,Jowar,Karnataka,
2015,Wheat,Karnataka,
2015,Maize,Karnataka,
2015,Rice,Karnataka,
2016,Rice,Karnataka,
2016,Wheat,Karnataka,
2016,Maize,Karnataka,
2016,Jowar,Karnataka,
2016,Ragi,Karnataka,
2017,Rice,Karnataka,2129.12
2017,Wheat,Karnataka,2233.98
2017,Maize,Karnataka,1439.21
2017,Jowar,Karnataka,1439.21
2017,Ragi,Karnataka,2709.79
2012,Bajra ,Karnataka ,1696.12
2012,Jowar ,Karnataka ,2007.08
2012,Maize,Karnataka ,1249.37
2012,Rice,Karnataka ,1287.87
2012,Ragi ,Karnataka ,2634.02
2014,Rice,Kerala,1479.24
2015,Rice,Kerala,
2016,Rice,Kerala,
2017,Rice,Kerala,2398.89
2012,Rice,Kerala ,1290.7
2016,Rice,Madhya Pradesh ,
2016,Wheat,Madhya Pradesh ,
2016,Maize,Madhya Pradesh ,
2016,Jowar,Madhya Pradesh ,
2017,Rice,Madhya Pradesh ,1573.61
2017,Wheat,Madhya Pradesh ,1109.88
2017,Maize,Madhya Pradesh ,1141.56
2017,Jowar,Madhya Pradesh ,1141.56
2012,Jowar ,Madhya Pradesh ,1254.54
2012,Wheat,Madhya Pradesh ,958.95
2012,Rice,Madhya Pradesh ,1041.35
2012,Maize,Madhya Pradesh ,971.57
2014,Wheat,Madhya Pradesh ,1127.43
2014,Maize,Madhya Pradesh ,1262.09
2014,Jowar,Madhya Pradesh ,2710.85
2015,Wheat,Madhya Pradesh ,
2015,Maize,Madhya Pradesh ,
2015,Jowar,Madhya Pradesh ,
2015,Rice,Madhya Pradesh ,
2012,Bajra ,Maharashtra,1403.87
2012,Jowar ,Maharashtra,2426.25
2012,Ragi ,Maharashtra,1521.86
2012,Wheat,Maharashtra,1605.32
2012,Rice,Maharashtra,1353.73
2014,Wheat,Maharashtra,1992.76
2014,Maize,Maharashtra,1993.66
2014,Jowar,Maharashtra,1951.96
2014,Bajra,Maharashtra,2749.83
2015,Jowar,Maharashtra,
2015,Bajra,Maharashtra,
2015,Wheat,Maharashtra,
2015,Maize,Maharashtra,
2015,Rice,Maharashtra,
2016,Rice,Maharashtra,
2016,Wheat,Maharashtra,
2016,Maize,Maharashtra,
2016,Jowar,Maharashtra,
2016,Bajra,Maharashtra,
2017,Rice,Maharashtra,2732.58
