,state,district,crop,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
206,bihar,aurangabad,barley,2461.0,2503.0,2.137573964497041
207,bihar,aurangabad,rice,743.0,971.0,2.1666666666666665
208,bihar,aurangabad,wheat,97579.0,229422.0,3.010036867447749
209,bihar,banka,Maize,6667.0,35997.0,6.726436781609196
210,bihar,banka,barley,1974.0,3340.0,2.424778761061947
211,bihar,banka,rice,480.0,808.0,1.9656084656084656
212,bihar,banka,wheat,40698.0,90876.0,3.0391683991683998
213,bihar,begusarai,Maize,30881.0,238836.0,7.734075969042453
214,bihar,begusarai,barley,461.0,275.0,2.0
215,bihar,begusarai,rice,5489.0,2996.0,3.782608695652174
216,bihar,begusarai,wheat,68281.0,257791.0,3.7787128712871287
217,bihar,bhagalpur,Maize,28503.0,193075.0,7.922902629539085
218,bihar,bhagalpur,barley,3262.0,4110.0,1.59984520123839
219,bihar,bhagalpur,rice,1990.0,2228.0,2.630434782608696
220,bihar,bhagalpur,wheat,56392.0,163598.0,3.383689424807132
221,bihar,bhojpur,Maize,977.0,4947.0,5.084275436793423
222,bihar,bhojpur,barley,2785.0,4656.0,2.864032150033489
223,bihar,bhojpur,rice,957.0,1149.0,2.375
224,bihar,bhojpur,wheat,98398.0,308001.0,3.584616458922524
225,bihar,bokaro,Maize,29.0,58.0,2.0
226,bihar,bokaro,barley,84.0,87.0,1.25
227,bihar,bokaro,rice,53.0,72.0,1.4545454545454546
228,bihar,bokaro,wheat,659.0,844.0,1.318840579710145
229,bihar,buxar,Maize,254.0,1369.0,5.413793103448276
230,bihar,buxar,barley,6166.0,13664.0,2.2160233538760945
231,bihar,buxar,rice,4.0,6.0,1.5
232,bihar,buxar,wheat,90524.0,278859.0,3.456486960054852
233,bihar,chatra,Maize,43.0,83.0,2.05
234,bihar,chatra,barley,538.0,614.0,1.1563088512241055
235,bihar,chatra,rice,2.0,3.0,1.5
236,bihar,chatra,wheat,5212.0,7577.0,1.647890387124837
237,bihar,darbhanga,Maize,18099.0,96500.0,7.542008597108246
238,bihar,darbhanga,barley,335.0,345.0,2.0
239,bihar,darbhanga,rice,15146.0,15757.0,2.4420323325635103
240,bihar,darbhanga,wheat,81686.0,222606.0,3.713380152468013
241,bihar,deoghar,Maize,85.0,197.0,2.3176470588235296
242,bihar,deoghar,barley,13.0,14.0,1.25
243,bihar,deoghar,rice,74.0,165.0,2.22972972972973
244,bihar,deoghar,wheat,4385.0,8026.0,1.8408256880733944
245,bihar,dhanbad,rice,8.0,12.0,1.5
246,bihar,dhanbad,wheat,800.0,1592.0,1.99
247,bihar,dumka,Maize,181.0,454.0,2.50828729281768
248,bihar,dumka,rice,269.0,540.0,2.007434944237918
249,bihar,dumka,wheat,5636.0,10564.0,1.9143314651721377
250,bihar,east singhbum,rice,672.0,936.0,1.476340694006309
251,bihar,east singhbum,wheat,292.0,454.0,1.6814814814814816
252,bihar,garhwa,Maize,27.0,64.0,2.3703703703703702
253,bihar,garhwa,barley,4601.0,3327.0,0.7299254058797718
254,bihar,garhwa,wheat,7970.0,11330.0,1.4215809284818068
255,bihar,gaya,Maize,2242.0,6790.0,5.160919540229885
256,bihar,gaya,barley,2113.0,3106.0,2.2222222222222223
257,bihar,gaya,rice,359.0,698.0,2.3076923076923075
258,bihar,gaya,wheat,73663.0,231671.0,3.220112586003197
259,bihar,giridih,Maize,11.0,21.0,2.0
260,bihar,giridih,barley,13.0,15.0,1.1538461538461535
261,bihar,giridih,rice,17.0,27.0,1.588235294117647
262,bihar,giridih,wheat,4770.0,6720.0,1.4088050314465408
263,bihar,godda,Maize,555.0,1576.0,2.868787276341948
264,bihar,godda,barley,1287.0,1429.0,1.1561488673139158
265,bihar,godda,rice,6.0,9.0,1.5
266,bihar,godda,wheat,8667.0,15404.0,1.7773162570670358
267,bihar,gopalganj,Maize,10887.0,35030.0,4.603237095363079
268,bihar,gopalganj,barley,213.0,318.0,1.6933333333333334
269,bihar,gopalganj,rice,64232.0,74536.0,2.65
270,bihar,gopalganj,wheat,90266.0,291749.0,3.444904947455426
271,bihar,gumla,Maize,11.0,23.0,2.111111111111111
272,bihar,gumla,barley,22.0,25.0,1.1363636363636365
273,bihar,gumla,rice,815.0,1001.0,1.2282208588957055
274,bihar,gumla,wheat,1758.0,3636.0,2.068259385665529
275,bihar,hazaribagh,Maize,254.0,630.0,2.702857142857143
276,bihar,hazaribagh,barley,211.0,244.0,1.1563981042654028
277,bihar,hazaribagh,rice,71.0,104.0,1.5490196078431373
278,bihar,hazaribagh,wheat,5047.0,10313.0,2.0433921141272045
279,bihar,jamui,Maize,2308.0,7854.0,5.942075623491553
280,bihar,jamui,barley,1423.0,1409.0,1.9901960784313728
281,bihar,jamui,rice,112.0,226.0,2.230769230769231
282,bihar,jamui,wheat,52120.0,105711.0,2.725651942522618
283,bihar,jehanabad,Maize,884.0,2463.0,6.176923076923077
284,bihar,jehanabad,barley,1212.0,1116.0,8.053763440860216
285,bihar,jehanabad,rice,124.0,270.0,2.231404958677686
286,bihar,jehanabad,wheat,44404.0,128275.0,3.6850043091065783
287,bihar,kaimur (bhabua),Maize,222.0,580.0,6.285714285714286
288,bihar,kaimur (bhabua),barley,1886.0,2897.0,1.5516372795969773
289,bihar,kaimur (bhabua),rice,287.0,327.0,1.1393728222996515
290,bihar,kaimur (bhabua),wheat,98301.0,249415.0,3.00723031225096
291,bihar,katihar,Maize,77574.0,814391.0,10.49824683527986
292,bihar,katihar,barley,786.0,1564.0,1.9898218829516536
293,bihar,katihar,rice,44803.0,120495.0,2.985966249696802
294,bihar,katihar,wheat,47809.0,121672.0,3.340526590341268
295,bihar,khagaria,Maize,47261.0,396641.0,8.392564693933688
296,bihar,khagaria,barley,1950.0,1496.0,1.9830508474576272
297,bihar,khagaria,rice,8029.0,4484.0,2.603290676416819
298,bihar,khagaria,wheat,41772.0,121351.0,3.807770214178981
299,bihar,kishanganj,Maize,4308.0,21450.0,6.818181818181818
300,bihar,kishanganj,barley,84.0,97.0,2.0
301,bihar,kishanganj,rice,13499.0,36068.0,2.718010550113037
302,bihar,kishanganj,wheat,29190.0,47913.0,2.8454819655649115
303,bihar,koderma,barley,84.0,97.0,1.1547619047619049
304,bihar,koderma,wheat,1446.0,2445.0,1.6908713692946058
305,bihar,lakhisarai,Maize,3317.0,15567.0,6.27027027027027
306,bihar,lakhisarai,barley,1181.0,1124.0,1.5223880597014925
307,bihar,lakhisarai,wheat,52762.0,153199.0,3.277115224872434
308,bihar,lohardaga,Maize,103.0,227.0,2.210526315789474
309,bihar,lohardaga,barley,51.0,59.0,1.156862745098039
310,bihar,lohardaga,rice,172.0,200.0,1.162790697674419
311,bihar,lohardaga,wheat,1889.0,2958.0,1.5659078877713075
312,bihar,madhepura,Maize,40267.0,265464.0,7.485237707776357
313,bihar,madhepura,barley,261.0,269.0,2.0
314,bihar,madhepura,rice,20395.0,19326.0,2.744219653179191
315,bihar,madhepura,wheat,51601.0,127666.0,3.804775972427376
316,bihar,madhubani,Maize,1633.0,5751.0,6.305084745762712
317,bihar,madhubani,barley,396.0,408.0,2.0
318,bihar,madhubani,rice,32460.0,29175.0,2.393069993069993
319,bihar,madhubani,wheat,95278.0,225941.0,2.3737287779458733
320,bihar,munger,Maize,3588.0,10566.0,4.11921032649962
321,bihar,munger,barley,392.0,347.0,1.5384615384615383
322,bihar,munger,rice,352.0,635.0,2.56043956043956
323,bihar,munger,wheat,22802.0,44174.0,2.8597138602964978
324,bihar,muzaffarpur,Maize,27332.0,88469.0,3.92399565689468
325,bihar,muzaffarpur,barley,1255.0,1839.0,2.0551558752997603
326,bihar,muzaffarpur,rice,33832.0,38296.0,2.8217821782178216
327,bihar,muzaffarpur,wheat,127915.0,354034.0,4.046565321751057
328,bihar,nalanda,Maize,5749.0,32290.0,5.616628978952861
329,bihar,nalanda,barley,503.0,709.0,2.253731343283582
330,bihar,nalanda,rice,90.0,175.0,2.8
331,bihar,nalanda,wheat,101255.0,266555.0,3.5448500565197154
332,bihar,nawada,Maize,1244.0,4711.0,4.814249363867685
333,bihar,nawada,barley,587.0,611.0,1.736842105263158
334,bihar,nawada,rice,145.0,260.0,2.75
335,bihar,nawada,wheat,59357.0,141047.0,3.074652535676103
336,bihar,pakur,Maize,2.0,4.0,2.0
337,bihar,pakur,barley,172.0,191.0,1.161764705882353
338,bihar,pakur,rice,116.0,199.0,1.7155172413793105
339,bihar,pakur,wheat,1578.0,2952.0,1.870722433460076
340,bihar,palamu,Maize,81.0,197.0,2.432098765432099
341,bihar,palamu,barley,5791.0,5901.0,1.0209342560553634
342,bihar,palamu,rice,144.0,222.0,1.5416666666666667
343,bihar,palamu,wheat,12978.0,18307.0,1.410617968870396
344,bihar,pashchim champaran,Maize,12625.0,57581.0,4.700584795321637
345,bihar,pashchim champaran,barley,2127.0,4043.0,2.0961337513061653
346,bihar,pashchim champaran,rice,65505.0,95564.0,2.312169312169312
347,bihar,pashchim champaran,wheat,84056.0,246107.0,3.244237040368829
348,bihar,patna,Maize,6645.0,16614.0,4.92497670083877
349,bihar,patna,barley,1078.0,2112.0,2.2432432432432434
350,bihar,patna,rice,4423.0,5090.0,2.375
351,bihar,patna,wheat,72028.0,252151.0,3.657180312634828
352,bihar,purbi champaran,Maize,14134.0,57254.0,4.35922080151034
353,bihar,purbi champaran,barley,2218.0,3254.0,2.636363636363636
354,bihar,purbi champaran,rice,82215.0,131105.0,2.079903147699758
355,bihar,purbi champaran,wheat,128684.0,359055.0,3.235050320302012
356,bihar,purnia,Maize,45590.0,401618.0,9.401995012468827
357,bihar,purnia,barley,225.0,282.0,1.2533333333333334
358,bihar,purnia,rice,21846.0,45627.0,3.021598272138229
359,bihar,purnia,wheat,58812.0,112973.0,3.484025439580995
360,bihar,ranchi,Maize,332.0,713.0,2.476
361,bihar,ranchi,barley,21.0,23.0,1.15
362,bihar,ranchi,rice,1090.0,2302.0,2.1119266055045878
363,bihar,ranchi,wheat,3838.0,7756.0,2.0627659574468087
364,bihar,rohtas,Maize,156.0,451.0,4.857142857142857
365,bihar,rohtas,barley,2936.0,3545.0,2.3904899135446684
366,bihar,rohtas,rice,504.0,976.0,2.2857142857142856
367,bihar,rohtas,wheat,150461.0,517855.0,3.6796984360455616
368,bihar,saharsa,Maize,36379.0,212190.0,6.000549593590003
369,bihar,saharsa,barley,146.0,151.0,1.5777777777777775
370,bihar,saharsa,rice,16831.0,16934.0,3.2756097560975608
371,bihar,saharsa,wheat,54469.0,149817.0,3.0702069278537683
372,bihar,sahebganj,Maize,37.0,108.0,2.918918918918919
373,bihar,sahebganj,barley,412.0,457.0,1.154727793696275
374,bihar,sahebganj,rice,457.0,621.0,2.013245033112583
375,bihar,sahebganj,wheat,2639.0,5181.0,2.072208228379513
376,bihar,samastipur,Maize,50892.0,409974.0,8.247148518436564
377,bihar,samastipur,barley,725.0,1014.0,2.0
378,bihar,samastipur,rice,31385.0,33879.0,2.4190365641323277
379,bihar,samastipur,wheat,64032.0,239464.0,3.839630292994491
380,bihar,saran,Maize,12600.0,53303.0,5.117906865098416
381,bihar,saran,barley,820.0,876.0,1.984375
382,bihar,saran,rice,19132.0,20200.0,2.827838827838828
383,bihar,saran,wheat,98192.0,312705.0,3.4815792110624937
