source_state,target_state,quantity_kcal,State,original_alt_trade_kcal,trade_alt_needed_clipped,scale_factor,optimized_trade_kcal
bihar,daman and diu,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,delhi,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,goa,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,gujarat,11446695000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,221950479030.0712
bihar,haryana,32257160000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,625463691847.267
bihar,himachal pradesh,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,jammu and kashmir,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,jharkhand,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,karnataka,238432480000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,4623186269253.078
bihar,kerala,32243900000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,625206581532.7229
bihar,madhya pradesh,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,maharashtra,43262960000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,838865252918.7515
bihar,manipur,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,meghalaya,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,mizoram,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,nagaland,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,odisha,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,puducherry,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,punjab,87622080000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,1698984958506.4702
bihar,rajasthan,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,tamil nadu,476427380000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,9237887898126.207
bihar,telangana,16893240000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,327558540729.00165
bihar,tripura,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,uttar pradesh,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,uttarakhand,363047750000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,7039466153618.099
bihar,west bengal,25303395000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,490630757728.5066
chandigarh,andhra pradesh,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,arunachal pradesh,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,assam,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,bihar,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,chhattisgarh,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,daman and diu,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,delhi,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,goa,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,gujarat,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,haryana,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,himachal pradesh,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,jammu and kashmir,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,jharkhand,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,karnataka,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,kerala,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,madhya pradesh,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,maharashtra,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,manipur,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,meghalaya,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,mizoram,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,nagaland,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,odisha,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,puducherry,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,punjab,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,rajasthan,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,tamil nadu,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,telangana,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,tripura,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,uttar pradesh,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,uttarakhand,0.0,chandigarh,0.0,0.0,0.0,0.0
chandigarh,west bengal,0.0,chandigarh,0.0,0.0,0.0,0.0
chhattisgarh,andhra pradesh,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,arunachal pradesh,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,assam,5850975000.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,3927752209935.6284
chhattisgarh,bihar,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,chandigarh,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,daman and diu,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,delhi,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,goa,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,gujarat,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,haryana,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,himachal pradesh,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,jammu and kashmir,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,jharkhand,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,karnataka,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,kerala,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,madhya pradesh,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,maharashtra,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
